FeatureID	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
86681c8e9c64b6683071cf185f9e3419	716	699	408	580	958	1137	1806	2158	1858	1964	1041	1899	540	1716	625	1314	872	766	695	1114	1030	852	1160	852
663baa27cddeac43b08f428e96650bf5	112	29	45	35	75	283	432	536	873	819	372	457	495	411	338	553	28	33	27	88	75	73	113	223
abd40160e03332710641ee74b1b42816	0	0	0	0	0	144	67	301	95	292	90	315	283	245	285	119	0	0	0	0	0	0	0	137
bac85f511e578b92b4a16264719bdb2d	56	4	63	131	90	440	459	352	456	426	511	462	455	372	415	294	89	37	122	35	35	9	138	269
2a45f0b7f68a35504402988bcb8eb7fe	0	0	0	0	0	50	15	170	37	275	172	32	284	224	61	189	0	0	0	0	0	0	0	74
8db33d54e5184b0f448ae140f793368a	0	0	0	0	0	65	11	78	19	251	136	0	76	16	72	111	64	48	102	0	0	0	0	36
40c2346925c479d2f90d76aea73b0975	3	19	0	0	7	67	36	351	23	353	154	8	10	144	9	262	31	23	28	5	6	7	23	141
cebb9cfc1d8430f13650adacf98b0a61	0	0	0	0	0	168	81	237	108	135	70	20	212	66	134	31	0	0	0	0	0	0	0	47
d307aef8086bbdb1c3e4f3d5511412dc	11	69	32	26	49	92	42	308	14	325	178	11	9	191	2	278	155	107	157	47	38	42	67	157
23fe12a325dfefcdb23447f43b6b896e	108	0	116	121	125	181	91	530	501	941	240	19	50	284	7	699	179	261	480	209	265	127	124	678
daac2b933e609bc0b483a4c25c92a055	0	0	0	0	0	81	96	62	78	92	174	98	101	163	101	96	0	0	0	0	0	0	0	78
de1be320837d0ac367b4ccef7f7ef44c	2	0	0	0	0	157	214	64	6	76	26	291	203	80	162	13	7	0	3	0	11	11	8	39
c6f8879689d204423d60258f2759ebf1	27	37	7	27	12	25	50	142	12	124	100	118	110	50	28	52	56	55	102	9	21	21	34	52
749f091c6dfc58f7a48d89cf4c0f3049	75	0	7	55	23	14	92	21	19	173	109	146	37	16	69	13	81	12	10	27	23	174	131	22
7e5d7cc681f5a0c25e0816a77d59ffb2	10	26	17	19	25	38	48	96	31	110	48	85	77	38	56	55	45	38	49	23	24	10	38	38
c9e3a646d6b14e727ec78e0abe6aa878	0	9	9	6	6	85	139	387	150	111	108	170	235	20	64	47	10	25	49	12	10	6	2	48
ff33233ffebbe6e3720af8bba7e89f08	239	215	145	184	330	100	191	225	311	197	109	167	36	149	48	84	206	164	180	302	296	173	297	50
f5b23f626e3f2d2d1213f83c6de3e385	67	41	17	13	14	92	34	69	23	99	147	69	122	72	112	125	16	17	33	47	57	25	117	43
48292bb527301239168556057a7805bb	0	0	0	0	0	136	161	237	154	224	115	212	47	162	49	111	0	0	0	0	0	0	0	79
343635a5abc8d3b1dbd2b305eb0efe32	64	25	13	26	69	25	48	26	39	56	78	29	23	24	22	22	84	55	67	105	111	105	80	13
9272935a83a4b015099938a373d42cc5	0	0	0	0	0	50	62	605	406	349	351	0	0	317	71	340	0	0	0	0	0	0	0	8
48634a509c9db2a42174d1920e5c3999	73	81	229	10	0	441	94	170	79	489	346	4	0	209	2	109	13	40	37	167	246	11	15	319
a895f151de7f3a3e9b84e15800425631	289	896	342	340	468	0	0	0	0	0	0	0	0	0	0	0	265	407	347	136	169	108	523	0
e6380dc8bedb392a5c2139c21c26a7e4	286	0	218	258	235	0	0	0	0	0	0	0	0	0	0	0	219	312	562	498	661	221	320	0
6d5af1db8934361889a6fb8d80c70836	308	242	187	214	339	0	0	0	0	0	0	0	0	0	0	0	265	166	192	272	252	284	385	0
20e568023c10eaac834f1c110aacea18	26	517	230	144	255	0	0	0	0	0	0	0	0	0	0	0	43	24	48	3	19	3	206	0
cfe4029cc35d2695cf0ce8c5ff332956	69	238	110	110	117	0	0	0	0	0	0	0	0	0	0	0	83	147	104	47	59	33	150	0
d6cecaaf52a711cc96417a5334067830	186	267	17	90	158	0	0	0	0	0	0	0	0	0	0	0	106	84	76	118	121	108	202	0
691eeed271e420c8e7a91d5ea0cf5431	107	135	102	67	183	5	5	0	12	0	21	0	0	0	0	6	95	68	108	176	161	114	128	25
b639d3575f66b7b6b5dd908999072997	134	51	58	71	117	0	0	0	0	0	0	0	0	0	0	0	243	234	409	88	188	65	85	0
5c5f6d5a2d45a21bc576e475985efa17	35	58	25	87	103	0	0	0	0	0	0	0	0	0	0	0	103	126	164	79	154	123	74	0
288c8176059111c4c7fdfb0cd5afce64	102	90	59	69	94	0	0	0	0	0	0	0	0	0	0	0	63	111	115	84	96	52	166	0
94be7094bb21b6425f166ebb9f64f64f	34	51	48	76	133	0	0	0	0	0	0	0	0	0	0	0	134	133	199	98	177	96	59	0
8726f3950f95ade7a06f46b7cf3de779	111	166	54	0	39	0	0	0	0	0	0	0	0	0	0	0	29	92	131	85	42	44	211	0
763af2e6cfd1d573893fa6d28aafc4b5	89	110	91	93	142	0	0	0	0	0	0	0	0	0	0	0	94	52	47	103	119	72	106	0
b8083ad94a9a412e5d124d68d2da3343	112	0	0	776	21	0	0	0	0	0	0	2654	15	32	197	0	0	0	0	0	0	0	17	3
f3e89fa547a772288e6624c88135a47f	0	0	0	0	0	273	79	9	306	41	0	516	436	0	563	13	0	0	0	0	0	0	0	17
