asset	file	bytes	observed_sha256	expected_sha256	status
otutab	otutab.tsv	2609310	76fa79c38da889f35978dc86da4641a270961746709ff38049ee5f67e3c6f7a3	76fa79c38da889f35978dc86da4641a270961746709ff38049ee5f67e3c6f7a3	PASS
taxonomy	taxonomy.tsv	1304891	725280bb9a0cd9bda7b540022e92af945ceed52527f8b2d220b055b4489f6901	725280bb9a0cd9bda7b540022e92af945ceed52527f8b2d220b055b4489f6901	PASS
metadata	metadata.tsv	2203	df24771dccf27607ddf922c6bca2cafa876d946fbe2e09d14b601accce66ba64	df24771dccf27607ddf922c6bca2cafa876d946fbe2e09d14b601accce66ba64	PASS
source_summary	source_summary.json	251	e51bb47c6766d41ee6efe34689ce550ab50fa4ec07ca3beef5656268124bf6f6	e51bb47c6766d41ee6efe34689ce550ab50fa4ec07ca3beef5656268124bf6f6	PASS
