Order	Comparison	SpearmanRho
0	Raw vs 10,000 reads	0.5440244971954047
0	Raw vs 90% coverage	0.54569550601566
0	10,000 reads vs 90% coverage	0.9383792237724822
1	Raw vs 10,000 reads	0.9906161254475861
1	Raw vs 90% coverage	0.9899576079351361
1	10,000 reads vs 90% coverage	0.9952751368481706
2	Raw vs 10,000 reads	0.9999176853109436
2	Raw vs 90% coverage	0.9999012223731325
2	10,000 reads vs 90% coverage	0.9999506111865661
