sample_id	forward_sequence_count	reverse_sequence_count
BAQ1370.1.3	1	1
BAQ2420.1.1	10	10
BAQ2420.1.2	10	10
BAQ2420.1.3	13	13
BAQ2420.2	7	7
BAQ2420.3	8	8
BAQ2462.1	17	17
BAQ2462.2	6	6
BAQ2462.3	4	4
BAQ2687.1	16	16
BAQ2687.2	14	14
BAQ2687.3	16	16
BAQ2838.1	11	11
BAQ2838.2	6	6
BAQ2838.3	3	3
BAQ3473.1	20	20
BAQ3473.2	18	18
BAQ3473.3	28	28
BAQ4166.1.1	16	16
BAQ4166.1.2	21	21
BAQ4166.1.3	15	15
BAQ4166.2	21	21
BAQ4166.3	13	13
BAQ4697.1	8	8
BAQ4697.2	7	7
BAQ4697.3	18	18
YUN1005.1.1	22	22
YUN1005.3	5	5
YUN1242.1	7	7
YUN1242.3	13	13
YUN1609.1	12	12
YUN2029.2	15	15
YUN3153.2	4	4
YUN3153.3	12	12
YUN3184.2	1	1
YUN3259.1.1	1	1
YUN3259.1.2	7	7
YUN3259.1.3	3	3
YUN3259.2	14	14
YUN3259.3	19	19
YUN3346.1	10	10
YUN3346.2	3	3
YUN3346.3	10	10
YUN3428.1	15	15
YUN3428.2	15	15
YUN3428.3	17	17
YUN3533.1.1	15	15
YUN3533.1.2	12	12
YUN3533.1.3	9	9
YUN3533.2	24	24
YUN3533.3	24	24
YUN3856.1.1	13	13
YUN3856.1.2	25	25
YUN3856.1.3	7	7
YUN3856.2	14	14
YUN3856.3	17	17
