mapping_status	barcode_errors	records	percent_total
Mapped	0	614	30.7
Mapped	1	30	1.5
Mapped	2	27	1.35
Mapped	3	21	1.05
Unmapped	0	870	43.5
Unmapped	1	24	1.2
Unmapped	2	62	3.1
Unmapped	3	171	8.55
Unmapped	4	181	9.05
