FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Lineage	DisplayName
OTU_18	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_18
OTU_1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis		k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__	Coprinopsis
OTU_38	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales	Leptodontidium	orchidicola	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales;g__Leptodontidium;s__orchidicola	orchidicola
OTU_1828	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Venturiaceae	Protoventuria	Protoventuria	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae;g__Protoventuria;s__Protoventuria	Protoventuria
OTU_54	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma		k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__	Entoloma
OTU_57	Fungi	Ascomycota						k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	OTU_57
OTU_30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales	Cadophora		k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales;g__Cadophora;s__	Cadophora
OTU_45	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	solani	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus;s__solani	solani
OTU_584	Fungi	Ascomycota						k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	OTU_584
OTU_40	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	solani	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus;s__solani	solani
OTU_5365	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Venturiaceae	Protoventuria	Protoventuria	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae;g__Protoventuria;s__Protoventuria	Protoventuria
OTU_426	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_426
OTU_21	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales	Cadophora	luteo_olivacea	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales;g__Cadophora;s__luteo_olivacea	luteo_olivacea
OTU_67	Fungi	Basidiomycota	Agaricomycetes					k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__;f__;g__;s__	OTU_67
OTU_116	Fungi	Ascomycota						k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	OTU_116
OTU_198	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	passeckerianus	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__passeckerianus	passeckerianus
OTU_256	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_256
OTU_406	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_406
OTU_99	Fungi	Ascomycota						k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	OTU_99
OTU_83	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_83
OTU_582	Fungi	Basidiomycota						k__Fungi;p__Basidiomycota;c__;o__;f__;g__;s__	OTU_582
OTU_76	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_76
OTU_193	Fungi	Basidiomycota	Agaricomycetes	Agaricales				k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__;g__;s__	OTU_193
OTU_449	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_449
OTU_164	Fungi	Ascomycota						k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	OTU_164
OTU_196	Fungi	Basidiomycota						k__Fungi;p__Basidiomycota;c__;o__;f__;g__;s__	OTU_196
OTU_475	Fungi							k__Fungi;p__;c__;o__;f__;g__;s__	OTU_475
OTU_297	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	rickenii	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe;s__rickenii	rickenii
OTU_2753	Fungi	Ascomycota						k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	OTU_2753
