FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Lineage	DisplayName
OTU_14			Oomycetes	Saprolegniales	Saprolegniaceae			p__;c__Oomycetes;o__Saprolegniales;f__Saprolegniaceae;g__;s__	Saprolegniaceae
OTU_19			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_34			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_40			Oomycetes	Saprolegniales	Saprolegniaceae			p__;c__Oomycetes;o__Saprolegniales;f__Saprolegniaceae;g__;s__	Saprolegniaceae
OTU_12			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_11			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_20			Oomycetes					p__;c__Oomycetes;o__;f__;g__;s__	OTU_20
OTU_93			Oomycetes					p__;c__Oomycetes;o__;f__;g__;s__	OTU_93
OTU_6			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_62			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_57			Oomycetes	Pythiales	Pythiaceae			p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__;s__	Pythiaceae
OTU_50			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_23			Oomycetes	Leptomitales	Apodachlya	Apodachlya	Apodachlya	p__;c__Oomycetes;o__Leptomitales;f__Apodachlya;g__Apodachlya;s__Apodachlya	Apodachlya
OTU_5			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_13			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_7			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_100			Oomycetes	Saprolegniales	Saprolegniaceae			p__;c__Oomycetes;o__Saprolegniales;f__Saprolegniaceae;g__;s__	Saprolegniaceae
OTU_15			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_3			Oomycetes	Peronosporales	Sclerosporaceae	Hyaloperonospora	Hyaloperonospora	p__;c__Oomycetes;o__Peronosporales;f__Sclerosporaceae;g__Hyaloperonospora;s__Hyaloperonospora	Hyaloperonospora
OTU_8			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_67			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_29			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_9			Oomycetes					p__;c__Oomycetes;o__;f__;g__;s__	OTU_9
OTU_41			Oomycetes					p__;c__Oomycetes;o__;f__;g__;s__	OTU_41
OTU_2			Oomycetes	Albuginales	Albuginaceae	Albugo	Albugo	p__;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo	Albugo
OTU_4			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_35			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
OTU_17			Oomycetes	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces	p__;c__Oomycetes;o__Saprolegniales;f__Saprolegniaceae;g__Aphanomyces;s__Aphanomyces	Aphanomyces
OTU_157			Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium	p__;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium	Pythium
