FeatureID	GE_rhizosphere_R1	GE_rhizosphere_R2	GE_rhizosphere_R3	GE_rhizosphere_R4	GE_root_R1	GE_root_R2	GE_root_R3	GE_root_R4	GE_soil_R1	GE_soil_R2	GE_soil_R3	GE_soil_R4	PU_rhizosphere_R1	PU_rhizosphere_R2	PU_rhizosphere_R3	PU_rhizosphere_R4	PU_root_R1	PU_root_R2	PU_root_R3	PU_root_R4	PU_soil_R1	PU_soil_R2	PU_soil_R3	PU_soil_R4	SD_rhizosphere_R1	SD_rhizosphere_R2	SD_rhizosphere_R3	SD_rhizosphere_R4	SD_root_R1	SD_root_R2	SD_root_R3	SD_root_R4	SD_soil_R1	SD_soil_R2	SD_soil_R3	SD_soil_R4
OTU_14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11256	0	0
OTU_19	211	0	4	0	0	2	0	0	163	1607	1469	707	0	0	0	324	0	0	0	0	484	410	1089	333	78	0	58	0	0	0	0	0	28	119	0	17
OTU_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1097	18	0	0	2602	0	2	0
OTU_40	0	0	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	37	0	0	6	0	0	0	0	14	5	682	86	27	0	0	1	0	7	0	0	1	2842	15	2	1950	840	495	2216	706	28	2595	1464	8723	9708	2525	16606
OTU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	1	18	16544	2	1454	7434	0	2067	0	4	2	524
OTU_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	37	632	465	0	0	0	0	570	1274	1308	2489
OTU_93	0	0	0	9	0	0	0	0	54	0	14	33	0	0	0	0	0	0	0	0	0	4	5	9	0	16	2	0	0	0	7	0	1	78	48	40
OTU_6	15	0	10	464	0	0	0	0	1212	973	1624	734	34	71	97	23	0	1	1	0	386	4040	4687	681	3057	1206	270	2731	3055	56	1075	2614	12267	16108	4096	16540
OTU_62	1	0	255	0	0	0	298	0	1944	3	1552	0	0	0	0	0	1	0	0	0	0	0	1	0	35	30	10	2	0	220	0	1	3	85	1	0
OTU_57	0	257	0	33	0	111	0	247	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50	35	31	0	283	0	0	0	0	1046	1306	194	688	0	0	0	0	0	0	0	0	14	50	473	159	0	0	0	0	0	0	0	0	0	0	37	18
OTU_23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	172	17	110	0	19	0	0	321	1447	1477	1321
OTU_5	0	0	1	805	19	16	26	14	6	4	16	24	336	8	345	5108	0	0	318	1555	432	0	257	2527	0	0	4	0	6	7	11	9	8	7	1	6
OTU_13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15000	0	0	24	1	0	2	1	0	1	0
OTU_7	1	7519	1073	8228	935	7534	2887	1836	373	2309	1714	4099	0	0	118	0	0	0	974	0	205	8	146	220	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15	0	23	0	1	0	0	0	0	0	1	29	265	0	0	0	0	0	0	0	0	0	0	0	0	13841	0	0	0	0	11	2961	0	0	6	0	0
OTU_3	6849	633	32058	6089	34	3	23948	152	2493	126	2403	2109	0	0	0	1	0	110	0	0	78	27	1768	12	0	2	1	0	0	4	1	1	18	0	0	0
OTU_8	0	0	1	0	0	0	0	0	23	19	0	24	11	0	2942	0	0	0	3074	0	0	117	2474	0	2462	794	1167	275	677	54	777	0	1756	4046	5322	662
OTU_67	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	4453	92	17	0	0	0	0
OTU_29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1137	1	15376	0	0	0	0
OTU_9	0	22	2229	26	0	0	296	0	0	0	1385	1	0	0	0	0	0	0	0	0	0	0	0	0	3632	4699	1572	113	329	1161	40	289	4130	15824	1417	388
OTU_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2786	0	0
OTU_2	2816	3175	43980	2016	1	7	2558	345	3917	12561	3057	1464	0	749	2565	657	0	0	10	46	2598	2895	20455	3663	0	0	3	0	0	0	0	0	1	0	0	1
OTU_4	45	351	23	6274	12	20	6	675	8	61	3	325	2658	62	270	6368	363	0	699	1004	3133	25	377	1233	1	0	1	0	7	15	26	92	4	8	8	3
OTU_35	0	0	0	0	0	0	0	0	414	25	125	182	0	0	0	0	0	0	0	0	0	43	464	2	0	0	0	0	0	0	0	0	40	275	5	24
OTU_17	0	8149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_157	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7970	0	0	0	0	0
OTU_1	2280	8360	3209	2176	0	0	427	120	20702	19543	8756	14276	64	463	1243	2338	0	1	2	2	7746	5850	34791	14141	28	0	0	25	0	0	0	0	903	3667	1150	3112
OTU_10	0	0	0	0	0	0	0	0	1174	0	437	806	0	0	0	0	0	193	0	0	193	0	798	53	0	0	0	0	0	0	0	0	0	0	1	0
OTU_18	9	0	0	650	0	0	0	0	1126	824	3552	514	19	20	87	390	0	11	0	0	78	2403	5916	644	190	133	18	247	344	23	12	142	1836	1461	639	1782
OTU_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6984	0	0	0	0	120	3	0
OTU_24	190	3290	427	2150	459	3463	1982	5511	476	724	722	344	0	0	0	0	0	0	0	0	0	4	273	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9364	0	0	0	54	0	0	0	0	201	0	0	0	0
OTU_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	8	0	0	0	12	103	58	154
OTU_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	34	99	16	11	37
OTU_22	0	0	0	0	0	0	0	0	0	7125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_215	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	1	3	0	95	81	8	189	209	7	11	97	751	670	237	803
OTU_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993	0	0	0	0	0	0	0	0	0
OTU_32	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4550	16	0	0	0	1	1618	1960	1
OTU_214	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	179	7	35	134	27	15	4	205	390	813	249	1105
OTU_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28	0	0	17	852	0	0	1	0	815	73	62	1620	0	0	306	0	0	0	0	0	109	274	10609	0	16	0	85	11	0	0	4	0	79	714	164	90
OTU_343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	7	110	0
OTU_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1690	0	0
OTU_243	0	0	0	0	0	0	0	0	3	66	36	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	39	16	443	0	4	465	88	108	129	13
OTU_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	1	0	0
OTU_33	0	780	13	25	0	0	0	0	299	139	180	5	0	0	0	0	0	0	0	0	392	545	0	305	0	0	0	0	0	0	0	0	0	0	0	0
OTU_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	30	11	0	0	0	35	24	0	15	85
OTU_97	24	6	0	28	0	0	0	0	0	1	0	1	20	0	0	118	48	0	12	11	34	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	1	0	0	63
OTU_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	157	0	1418	297	0	0	0	0	0	0	0	0	0	0	4	0
OTU_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	291	11
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1914	0
OTU_91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0
OTU_311	0	107	0	298	3	273	2	49	1	32	1	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	0	0	22	0	0	0	0	0	74	39	95	5	0	0	0	0	0	0	0	0	9	52	0	0	0	0	0	0	0	110	0	0	0	17	22	0
OTU_79	0	0	0	166	0	0	0	0	329	2171	149	69	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2396	0	0
OTU_30	0	0	0	0	0	0	0	0	0	0	3416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	281	0	0	1170	54	0	10	0	2225	585	184	515
OTU_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0
OTU_128	0	5	68	15	0	0	0	0	21	1	266	119	0	0	0	0	0	0	0	0	100	1	137	154	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16	0	0	0	0	0	0	0	0	47	136	0	0	0	0	0	0	0	1	0	0	199	1495	5955	97	165	18	112	0	0	0	0	0	421	9	449	89
OTU_71	0	0	0	100	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	5	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_45	0	0	3	0	470	0	0	0	7	18	0	189	0	99	0	0	0	0	0	0	0	193	0	0	0	100	61	0	0	5	0	398	85	99	45	204
OTU_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	48	98	0	70	14	25	104
OTU_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	21	45	1008	0
OTU_25	0	5	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1161	26	131	158	2153	0	85	500	626	761	413	113
OTU_173	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_241	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	15	5	0	0	0	149	43	286	240
OTU_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	0	0	0	0	0	0	0	0	0	1
OTU_36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571	0	15	0	35	0	0	0	137	1033	1032	265
OTU_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2893	0	0
OTU_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1817	0
OTU_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	253	0	89	40
OTU_21	0	17	0	0	0	0	0	1	9	0	4	0	0	0	0	0	0	0	0	0	0	0	7	14	134	103	0	169	478	32	315	2067	573	1771	250	274
OTU_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	28	0	0	0	1141	21	0	0
OTU_46	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	69	0	0	485	0	0	0	38	488	261	12	885
OTU_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0
OTU_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99
OTU_61	0	1	0	0	0	1178	0	0	0	0	42	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
