SampleID	Soil	Compartment	Replicate	BacterialSampleID	FungalSampleID	OomyceteSampleID
GE_rhizosphere_R1	GE	Rhizosphere	1	1161.SH.GA.Epi.1	L0006.SH.GE.Epi.ITS1.1	L0006.SH.GE.Epi.ITS.Om.1
GE_rhizosphere_R2	GE	Rhizosphere	2	1161.SH.GA.Epi.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.GE.Epi.ITS.Om.2
GE_rhizosphere_R3	GE	Rhizosphere	3	1161.SH.GA.Epi.3	L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS.Om.3
GE_rhizosphere_R4	GE	Rhizosphere	4	1161.SH.GA.Epi.4	L0006.SH.GE.Epi.ITS1.4	L0006.SH.GE.Epi.ITS.Om.4
GE_root_R1	GE	Root	1	1161.SH.GA.Endo.1	L0006.SH.GE.Endo.ITS1.1	L0006.SH.GE.Endo.ITS.Om.1
GE_root_R2	GE	Root	2	1161.SH.GA.Endo.2	L0006.SH.GE.Endo.ITS1.2	L0006.SH.GE.Endo.ITS.Om.2
GE_root_R3	GE	Root	3	1161.SH.GA.Endo.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.GE.Endo.ITS.Om.3
GE_root_R4	GE	Root	4	1161.SH.GA.Endo.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.GE.Endo.ITS.Om.4
GE_soil_R1	GE	Soil	1	1161.SH.GA.Soil.1	L0006.SH.GE.Soil.ITS1.1	L0006.SH.GE.Soil.ITS.Om.1
GE_soil_R2	GE	Soil	2	1161.SH.GA.Soil.2	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Soil.ITS.Om.2
GE_soil_R3	GE	Soil	3	1161.SH.GA.Soil.3	L0006.SH.GE.Soil.ITS1.3	L0006.SH.GE.Soil.ITS.Om.3
GE_soil_R4	GE	Soil	4	1161.SH.GA.Soil.4	L0006.SH.GE.Soil.ITS1.4	L0006.SH.GE.Soil.ITS.Om.4
PU_rhizosphere_R1	PU	Rhizosphere	1	1161.SH.PU.Epi.1	L0006.SH.PU.Epi.ITS1.1	L0006.SH.PU.Epi.ITS.Om.1
PU_rhizosphere_R2	PU	Rhizosphere	2	1161.SH.PU.Epi.2	L0006.SH.PU.Epi.ITS1.2	L0006.SH.PU.Epi.ITS.Om.2
PU_rhizosphere_R3	PU	Rhizosphere	3	1161.SH.PU.Epi.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.PU.Epi.ITS.Om.3
PU_rhizosphere_R4	PU	Rhizosphere	4	1161.SH.PU.Epi.4	L0006.SH.PU.Epi.ITS1.4	L0006.SH.PU.Epi.ITS.Om.4
PU_root_R1	PU	Root	1	1161.SH.PU.Endo.1	L0006.SH.PU.Endo.ITS1.1	L0006.SH.PU.Endo.ITS.Om.1
