FeatureID	GE_rhizosphere_R1	GE_rhizosphere_R2	GE_rhizosphere_R3	GE_rhizosphere_R4	GE_root_R1	GE_root_R2	GE_root_R3	GE_root_R4	GE_soil_R1	GE_soil_R2	GE_soil_R3	GE_soil_R4	PU_rhizosphere_R1	PU_rhizosphere_R2	PU_rhizosphere_R3	PU_rhizosphere_R4	PU_root_R1	PU_root_R2	PU_root_R3	PU_root_R4	PU_soil_R1	PU_soil_R2	PU_soil_R3	PU_soil_R4	SD_rhizosphere_R1	SD_rhizosphere_R2	SD_rhizosphere_R3	SD_rhizosphere_R4	SD_root_R1	SD_root_R2	SD_root_R3	SD_root_R4	SD_soil_R1	SD_soil_R2	SD_soil_R3	SD_soil_R4
OTU_18	99	17729	3359	7581	1	178	29	290	148	636	952	634	9	54	26	173	0	1	0	1	20	3	124	185	0	0	0	0	1	1	0	0	0	0	0	0
OTU_1	0	2	2	0	1	1	0	1	1	0	5	2	1111	77	12195	7890	2141	75	42205	38937	244	68	10832	938	3	2	3	1	1	1	1	2	2	2	2	1
OTU_38	579	897	306	803	8601	2316	3271	2425	450	640	340	174	25	127	2	289	196	100	2	1228	2	16	6	112	256	74	134	198	1260	3529	2218	5382	100	98	179	240
OTU_1828	120	205	21	68	757	228	48	111	4	31	4	3	0	0	0	0	0	0	0	2	1	0	0	0	9	1	3	0	41	41	2	41	0	3	1	0
OTU_54	32	183	30	744	0	0	0	211	84	10382	63	1283	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0
OTU_57	5	542	173	825	219	3622	5157	5890	32	234	175	86	118	99	89	9	927	1271	1281	83	16	64	47	67	1	0	1	0	6	25	26	5	0	2	2	1
OTU_30	1	0	0	3	0	0	0	1	1	0	0	2	1467	658	2976	704	3469	742	714	564	2387	345	5139	1333	0	0	0	1	1	0	0	1	1	0	1	0
OTU_45	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	41	547	1849	700	35	1415	12007	1736	74	1637	1464	1511
OTU_584	0	0	0	0	0	0	0	0	0	21	0	37	0	0	0	4	0	0	0	0	13	9	39	251	0	0	0	0	0	0	0	0	0	0	0	0
OTU_40	0	0	204	0	0	0	1071	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	1	0	18	0	0	1680	45	1	0	12045	9	0	1	472
OTU_5365	101	110	50	192	1340	337	473	514	55	65	15	31	11	53	0	133	90	46	0	355	0	10	1	42	0	0	1	4	2	73	5	41	1	1	0	6
OTU_426	0	0	0	0	0	0	0	0	0	0	0	0	17	8	8	6	13	1	27	3	27	13	7	9	70	97	54	29	46	202	46	64	6	5	1	3
OTU_21	2	63	52	5	1	9	41	0	14	31	10	2	176	552	483	1051	736	15096	2408	1700	960	289	1958	1015	15	7	57	65	71	12	47	139	26	43	36	148
OTU_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	220	155	292	175	284	319	303	420	1124	1610	1636	1540
OTU_116	1	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	0	36	0	0	3	284	53	4	14	450	0	0	8	2424	782	235	259
OTU_198	0	0	0	0	0	0	0	0	0	27	0	1447	0	0	12	35	0	0	0	1	2	0	126	29	14	18	8	6	61	1523	142	0	140	107	37	191
OTU_256	16	22	12	102	47	38	132	328	26	34	32	30	36	18	15	13	277	53	86	141	4	12	9	16	2	1	1	3	6	18	14	9	7	15	16	17
OTU_406	5	4	3	8	50	35	64	292	2	0	0	6	4	0	0	0	100	7	1	16	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
