FeatureID	GE_rhizosphere_R1	GE_rhizosphere_R2	GE_rhizosphere_R3	GE_rhizosphere_R4	GE_root_R1	GE_root_R2	GE_root_R3	GE_root_R4	GE_soil_R1	GE_soil_R2	GE_soil_R3	GE_soil_R4	PU_rhizosphere_R1	PU_rhizosphere_R2	PU_rhizosphere_R3	PU_rhizosphere_R4	PU_root_R1	PU_root_R2	PU_root_R3	PU_root_R4	PU_soil_R1	PU_soil_R2	PU_soil_R3	PU_soil_R4	SD_rhizosphere_R1	SD_rhizosphere_R2	SD_rhizosphere_R3	SD_rhizosphere_R4	SD_root_R1	SD_root_R2	SD_root_R3	SD_root_R4	SD_soil_R1	SD_soil_R2	SD_soil_R3	SD_soil_R4
OTU_81	131	28	16	20	15	1	6	22	493	240	102	46	99	181	26	3	0	9	3	0	640	210	108	93	86	18	26	18	49	1	8	2	58	33	12	21
OTU_3	9516	4704	698	129	2290	450	921	146	2655	3203	422	103	5545	301	632	202	1393	73	669	184	1363	658	228	379	1059	661	268	194	965	141	100	56	242	479	44	33
OTU_670	277	109	89	36	21	0	18	28	2141	772	206	152	785	166	149	8	25	0	5	0	2779	1079	459	361	91	57	49	38	28	3	6	4	165	90	41	59
OTU_2	355	56	16	36	4721	884	127	758	63	24	1	1	1025	180	186	34	7304	586	3556	131	379	94	46	16	65	37	50	12	260	158	304	108	17	17	9	29
OTU_32	43	10	9	8	0	0	0	0	1202	219	180	106	157	56	58	2	0	0	0	0	3009	1712	748	788	32	49	28	37	37	4	12	33	424	508	450	277
OTU_29	24	12	7	7	0	0	2	0	510	197	55	72	413	45	41	1	0	0	0	0	2850	929	428	422	2	2	17	7	10	0	3	39	210	118	127	65
OTU_535	7	3	95	4	0	0	18	0	50	2	88	2	19	7	9	1	22	0	0	1	67	36	22	12	0	2	2	2	1	0	0	2	9	8	2	5
OTU_9	1401	1030	575	113	3803	926	168	782	601	87	29	33	2116	405	439	84	464	119	181	151	469	345	137	138	459	119	117	128	255	138	128	52	124	105	25	39
OTU_56	450	63	43	12	11	0	3	7	550	111	26	17	1018	179	163	13	9	6	1	2	711	243	97	96	78	41	28	4	4	2	4	0	103	55	25	25
OTU_40	106	22	3	8	893	230	18	252	133	43	9	5	368	35	15	7	3218	48	485	147	104	74	28	23	65	69	11	11	388	71	113	44	82	61	21	37
OTU_27	65	16	11	5	0	0	0	3	1028	344	96	60	164	17	97	9	0	0	0	0	519	305	141	184	95	88	61	156	530	8	84	139	1330	1334	613	891
OTU_92	644	134	37	8	21	1	3	2	40	5	1	2	120	54	39	5	2	0	0	0	17	6	5	0	24	24	3	2	1	0	0	0	6	11	0	0
OTU_17	1053	319	103	38	1954	271	74	97	195	193	21	5	1545	154	179	78	1385	20	118	205	183	24	48	41	65	90	47	10	17	94	24	1	11	10	3	2
OTU_340	516	124	74	28	394	27	6	37	47	14	7	3	356	56	81	11	108	2	52	4	60	26	27	10	68	46	34	22	13	4	2	2	5	5	2	5
OTU_233	6	2	1	1	0	0	0	0	24	43	14	6	52	7	16	1	0	0	0	0	278	57	53	52	31	7	15	9	2	0	0	1	22	14	10	15
OTU_327	115	5	10	0	1066	110	15	10	37	3	0	0	0	1	16	2	0	1381	4373	14	8	0	2	1	14	8	20	2	107	177	29	1	0	0	0	2
OTU_13	4410	1083	509	519	99	9	17	92	1718	602	180	157	11316	1623	1736	131	29	1	0	1	1782	741	358	312	81	45	50	76	34	4	10	10	121	60	44	44
OTU_10	6072	2664	1028	855	218	66	263	299	5608	1334	298	357	12918	2166	2054	141	122	15	14	4	4621	2009	923	878	300	326	353	231	274	13	78	57	743	488	286	395
OTU_66	9	0	2	1	0	7	0	0	229	113	25	24	65	13	11	1	7	0	0	0	1129	304	221	185	9	1	5	11	5	0	6	2	115	122	42	54
OTU_85	107	4	6	9	318	41	8	41	253	50	54	11	153	25	20	1	120	13	67	10	509	133	35	36	33	61	13	11	30	80	17	9	21	27	2	6
OTU_4	147	110	21	10	318	1048	26	89	43	33	5	4	2700	297	448	113	14778	2185	449	739	70	124	50	17	251	92	43	48	145	1189	203	6	24	29	4	7
OTU_49	175	29	5	17	27	8	3	4	579	130	76	26	125	28	12	3	2	0	0	2	1105	367	150	132	24	30	27	14	33	3	23	2	107	126	60	57
OTU_3175	6	3	1	2	3	0	2	2	187	15	7	6	10	5	4	2	0	0	0	0	51	11	9	11	2	0	0	0	0	0	2	0	5	7	8	5
OTU_312	2	0	1	1	101	12	3	4	24	5	2	0	26	0	3	0	152	19	17	0	12	13	19	4	9	27	13	15	130	17	35	14	38	31	13	11
OTU_7	2441	17	138	131	0	229	69	59	1042	2	0	5	26	183	354	8	202	10	70	6	246	145	42	23	1037	409	187	398	995	91	44	52	314	237	66	47
OTU_1718	20	4	1	2	0	0	0	3	137	70	7	18	54	7	8	0	0	0	0	0	232	86	59	50	8	2	1	5	5	0	0	1	23	21	9	11
OTU_228	33	5	1	2	14	0	3	1	118	43	4	9	14	5	3	0	3	0	0	0	90	15	11	11	5	4	1	2	23	1	1	2	22	20	9	13
OTU_83	894	233	45	456	0	15	17	203	316	55	5	42	94	2	224	183	0	0	0	0	145	41	16	60	0	0	0	0	0	0	0	0	1	0	0	0
OTU_771	2	1	1	1	0	0	0	0	41	21	0	21	0	1	0	0	0	0	0	0	10	1	0	0	26	6	5	1	4	0	0	0	62	8	7	3
OTU_800	115	26	24	9	0	0	0	0	350	86	22	33	573	86	136	5	1	0	9	0	424	169	64	49	1	5	1	2	1	0	0	0	11	6	8	5
OTU_8	6474	1787	507	213	6504	1095	326	826	869	275	59	37	6176	1115	1027	320	808	121	232	200	784	386	220	168	911	694	384	177	322	178	162	24	284	264	70	78
OTU_530	0	0	2	2	0	0	0	0	74	26	4	3	0	0	0	0	0	0	0	0	10	2	3	2	3	4	11	7	6	0	0	0	63	61	44	46
OTU_839	80	13	2	4	7	0	2	7	64	9	3	1	211	13	18	6	0	0	2	0	41	10	1	11	8	5	3	1	6	0	4	1	8	6	4	2
OTU_5	72	12	32	9	1	0	0	0	3204	619	408	318	498	170	174	16	0	11	0	4	10534	7517	2921	3199	39	35	57	29	110	0	74	16	498	704	414	326
OTU_23	61	11	2	1	0	0	0	0	826	214	78	115	226	65	45	6	0	0	0	0	5093	1999	671	625	0	0	0	1	0	0	0	0	1	0	0	0
OTU_182	148	31	7	13	11	0	0	12	300	56	3	8	261	29	17	1	28	2	3	2	32	9	6	2	2	4	1	3	3	0	0	0	10	9	0	1
OTU_34	87	11	0	6	1332	221	251	121	184	43	3	4	245	19	16	5	279	112	152	10	95	228	43	22	64	35	26	86	847	130	153	116	138	70	21	66
OTU_681	2	0	1	0	0	0	0	0	18	10	3	2	18	9	5	0	0	0	0	1	184	75	38	48	2	0	4	1	1	0	1	0	6	3	3	9
OTU_180	54	1	0	0	924	74	17	31	1	1	0	0	76	3	0	0	257	26	73	6	81	1	0	0	1	1	0	1	2	2	2	1	0	0	0	0
OTU_362	2	0	0	0	1	0	0	0	2	0	0	1	34	1	2	0	2	0	86	1	14	4	3	4	6	12	7	1	11	2	40	6	33	42	10	11
OTU_25	560	141	42	89	0	11	0	0	280	53	1	22	157	111	71	2	0	0	0	4	50	30	18	7	458	332	199	225	159	0	13	18	881	451	159	328
OTU_486	19	5	7	1	62	28	12	19	37	8	12	1	31	8	1	1	36	5	24	2	85	29	11	10	2	2	1	0	2	5	2	0	1	3	0	1
OTU_42	127	6	43	16	0	1	0	0	801	118	31	34	762	116	168	8	28	0	0	0	1290	450	197	175	0	0	0	0	0	0	0	0	0	0	0	0
OTU_262	22	2	4	2	0	0	3	3	125	39	5	2	14	5	3	0	6	0	0	0	100	32	23	19	22	9	3	4	34	0	4	0	38	41	9	6
OTU_38	188	28	30	34	0	0	5	0	126	46	0	18	1409	74	160	42	0	0	0	0	133	213	38	30	49	22	22	24	10	0	0	3	87	34	17	30
OTU_6	703	224	80	16	7529	111	167	573	140	40	10	5	247	84	56	22	244	25	45	7	162	149	29	34	93	54	32	5	42	60	18	3	18	16	6	2
OTU_1091	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	2	0	0	12	0	18	0	3	1	0	0
OTU_253	62	10	6	2	27	0	6	3	81	19	12	5	140	15	23	0	1	0	0	0	37	23	12	12	44	31	12	9	26	1	9	0	77	69	23	19
OTU_239	37	7	5	3	0	1	0	0	335	160	37	20	15	3	2	0	0	0	0	0	168	54	28	27	3	8	12	3	7	0	8	1	73	79	47	28
OTU_820	73	22	11	9	0	11	4	15	248	37	14	15	247	48	257	22	0	0	0	0	884	428	399	492	60	46	13	44	33	0	17	4	69	82	17	58
OTU_463	0	0	0	0	0	0	0	0	28	9	18	2	0	0	0	0	0	0	0	0	28	146	28	21	0	0	0	0	0	0	0	0	0	1	0	0
