FeatureID	healthy37Xiang	healthy40Xiang	cancer11Xiang	healthy25Xiang	cancer8Xiang	healthy36Xiang	cancer3Xiang	healthy32Xiang	cancer16Xiang	cancer6Xiang	cancer18Xiang	cancer20Xiang	healthy33Xiang	cancer19Xiang	healthy22Xiang	healthy24Xiang	cancer21Xiang	healthy30Xiang	cancer2Xiang	healthy42Xiang	healthy23Xiang	healthy34Xiang	healthy41Xiang	cancer7Xiang	healthy29Xiang	cancer10Xiang	healthy38Xiang	cancer15Xiang	healthy26Xiang	healthy27Xiang	healthy39Xiang	cancer1Xiang	healthy28Xiang	cancer5Xiang	healthy31Xiang	healthy35Xiang	cancer14Xiang	cancer13Xiang	cancer9Xiang	cancer17Xiang	cancer4Xiang	healthy43Xiang	cancer12Xiang
xiang_denovo1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
xiang_denovo1106	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
xiang_denovo56	0	0	0	5	0	0	0	0	0	115	0	0	0	0	0	8	0	0	0	9	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
xiang_denovo57	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	140	0	0	0	0	0	0	0	0	0	0
xiang_denovo886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo887	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo884	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo885	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo882	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo883	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
xiang_denovo881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xiang_denovo452	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
