GroupCode	Group	FeatureState	MeanAbundanceMass	MinimumSampleMass	MaximumSampleMass
IW	Inland wetland	Primary core	0.17535458488497543	0.06636489182139027	0.315505066011667
IW	Inland wetland	Conditionally rare	0.09868047359546823	0.02385809312638579	0.28072732852539506
IW	Inland wetland	Persistently rare	0.20046068457058122	0.13142550253184085	0.2894877744065653
IW	Inland wetland	Sampling-limited	0.002351437396266936	7.484168105929764e-4	0.006444683136412459
IW	Inland wetland	Intermediate	0.5231528195527084	0.45552937069040367	0.6145602795573799
CW	Coastal wetland	Primary core	0.1410882879139049	0.06376526514220146	0.3119168479574574
CW	Coastal wetland	Conditionally rare	0.11190850150841808	0.05339769213364508	0.2663902311610288
CW	Coastal wetland	Persistently rare	0.14832874067497853	0.07153714611438221	0.2631934394597185
CW	Coastal wetland	Sampling-limited	0.0014884303337825856	2.44140625e-4	0.0045318380828020585
CW	Coastal wetland	Intermediate	0.5971860395689156	0.36781936791437037	0.7373166133923397
TW	Tibetan wetland	Primary core	0.19464076029631905	0.07277757728858411	0.35591164130819386
TW	Tibetan wetland	Conditionally rare	0.07106916782101463	0.02461022163182549	0.23661734632503312
TW	Tibetan wetland	Persistently rare	0.16925816503226185	0.09303128669106953	0.23983160621761346
TW	Tibetan wetland	Sampling-limited	9.119640333250124e-4	2.5274225344993175e-4	0.0021681522524692846
TW	Tibetan wetland	Intermediate	0.5641199428170818	0.47535763028863137	0.6604294751848796
