package	expected_version	observed_version	status
digest	0.6.36	0.6.36	PASS
ggplot2	3.5.2	3.5.2	PASS
ggrepel	0.9.5	0.9.5	PASS
jsonlite	1.8.8	1.8.8	PASS
ragg	1.3.2	1.3.2	PASS
readr	2.1.5	2.1.5	PASS
scales	1.3.0	1.3.0	PASS
svglite	2.1.3	2.1.3	PASS
systemfonts	1.1.0	1.1.0	PASS
vegan	2.6-6.1	2.6-6.1	PASS
