DetectionThreshold	DetectionLabel	PrevalenceThreshold	PrevalenceLabel	CoreFeatures	EqualSampleAbundanceMass
0	Presence	0.5	50%	1499	0.5997602068618869
0	Presence	0.8	80%	334	0.3177034334440175
0	Presence	0.9	90%	166	0.2199627088557593
0	Presence	1	100%	27	0.07022308234245266
1e-4	0.01%	0.5	50%	404	0.3594536980786885
1e-4	0.01%	0.8	80%	97	0.17036121103173313
1e-4	0.01%	0.9	90%	53	0.1192311299522287
1e-4	0.01%	1	100%	10	0.0421306676725377
5e-4	0.05%	0.5	50%	48	0.12443783482453927
5e-4	0.05%	0.8	80%	9	0.03881217317539848
5e-4	0.05%	0.9	90%	5	0.02587753564391009
5e-4	0.05%	1	100%	0	0
0.001	0.1%	0.5	50%	16	0.06323718383209664
0.001	0.1%	0.8	80%	0	0
0.001	0.1%	0.9	90%	0	0
0.001	0.1%	1	100%	0	0
