FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	DetectedSamples	Prevalence	EqualSampleMean	MaximumSampleAbundance
OTU_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	Unknown species	88	0.9777777777777777	0.010140087637493926	0.20496562261268145
OTU_2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Unknown species	90	1	0.008213118755311085	0.19001162614365869
OTU_12	Bacteria	Bacteroidetes	Bacteroidetes vadinHA17	Unknown order	Unknown family	Unknown genus	Unknown species	90	1	0.006985598764305498	0.12342646607307338
OTU_5	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	Unknown species	90	1	0.004339284931053062	0.0343538416249632
OTU_36	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101 soil group	Unknown genus	Unknown species	90	1	0.00418673390832859	0.08197254041758063
OTU_8	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	Unknown species	87	0.9666666666666667	0.004147366594134879	0.07111140133211441
OTU_59	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia Incertae Sedis	Draconibacteriaceae	Unknown genus	Unknown species	76	0.8444444444444444	0.004065472880655992	0.06117976502100201
OTU_16	Bacteria	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Unknown species	90	1	0.003803875934070899	0.03320500481231954
OTU_3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	Unknown species	74	0.8222222222222222	0.003382186259426206	0.11001330039901197
OTU_82	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown species	85	0.9444444444444444	0.0033700798688022222	0.03775526786197931
OTU_80	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown species	90	1	0.0033184944971392243	0.033819628647214856
OTU_25	Bacteria	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Unknown species	90	1	0.0033040886842538907	0.03001684311838306
OTU_13	Bacteria	Acidobacteria	Acidobacteria	Subgroup 3	Unknown family	Candidatus Solibacter	Unknown species	81	0.9	0.003295289131722974	0.03799705449189985
OTU_11	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	Unknown species	79	0.8777777777777778	0.0032669803238779926	0.0850275508265248
OTU_220	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	Unknown species	82	0.9111111111111111	0.003070821653559184	0.0242284963887065
OTU_23	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unknown genus	Unknown species	90	1	0.0030354445089865543	0.01588826958805817
OTU_31	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Unknown genus	Unknown species	90	1	0.0028172518861042527	0.016080466397591132
OTU_84	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter	Unknown species	81	0.9	0.00281617384399388	0.021146478043029767
OTU_102	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Unknown genus	Unknown species	87	0.9666666666666667	0.002491760698708417	0.01148033071778398
OTU_73	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	Unknown species	89	0.9888888888888889	0.002447311356679798	0.060637640883124906
OTU_28	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	Unknown family	Unknown genus	Unknown species	87	0.9666666666666667	0.002422515803875429	0.03620390378688583
OTU_51	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	DUNssu044	Unknown genus	Unknown species	86	0.9555555555555556	0.002320979594041432	0.05014158436356102
OTU_15	Bacteria	Acidobacteria	Holophagae	Subgroup 23	Unknown family	Unknown genus	Unknown species	74	0.8222222222222222	0.0022634395281584006	0.06729514140681653
OTU_357	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown genus	Unknown species	79	0.8777777777777778	0.0022490286229773235	0.016381594796434595
OTU_62	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Unknown genus	Unknown species	87	0.9666666666666667	0.0022477041953909505	0.01882530120481928
OTU_318	Bacteria	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Unknown species	90	1	0.0021267758029846467	0.023095893009579815
OTU_38	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium	Unknown species	88	0.9777777777777777	0.001994606409876405	0.0205761316872428
OTU_207	Bacteria	Acidobacteria	Holophagae	Subgroup 7	Unknown family	Unknown genus	Unknown species	86	0.9555555555555556	0.001860796201441226	0.025667792447037152
OTU_20	Bacteria	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Unknown species	78	0.8666666666666667	0.0018592562673877722	0.04397194350957758
OTU_37	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Unknown species	88	0.9777777777777777	0.001810222986385486	0.01699154735207866
OTU_6	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	Unknown order	Unknown family	Unknown genus	Unknown species	79	0.8777777777777778	0.0017913318552329857	0.04468968033198048
OTU_150	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Unknown species	86	0.9555555555555556	0.0017742491960657985	0.016167254726420558
OTU_219	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unknown genus	Unknown species	73	0.8111111111111111	0.0017671436118481695	0.027195066471212656
OTU_50	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown genus	Unknown species	74	0.8222222222222222	0.001751408063419826	0.033587155421757865
