SampleID	GroupCode	Group	Type	Saline	RareThreshold	ThresholdLabel	RareMass
S1	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.5147208519301543
S2	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.5081079061425796
S3	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.4578369539827143
S4	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.44134036144578315
S5	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.3707482993197279
S6	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.36967813540510547
S7	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.4071387449625792
S9	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.5178098438426566
S10	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.3279967288396817
S11	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.3514276941971139
S12	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.3533211137295976
S13	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.37577319587628866
S15	IW	Inland wetland	NW	Non-saline soil	0.001	0.1%	0.4493865030674847
S16	IW	Inland wetland	NW	Non-saline soil	0.001	0.1%	0.4534656232532141
S17	IW	Inland wetland	NW	Non-saline soil	0.001	0.1%	0.43661173134857345
S18	IW	Inland wetland	NW	Non-saline soil	0.001	0.1%	0.522347468241188
S19	IW	Inland wetland	NW	Non-saline soil	0.001	0.1%	0.5404761904761904
S20	IW	Inland wetland	NW	Non-saline soil	0.001	0.1%	0.52044263249854394
S22	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.437333087761304
S23	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.4850470124355475
S24	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.42026159720529693
S25	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.3773478889067266
S26	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.4736497265268915
S27	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.5027069297401348
S28	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.42173055351409894
S30	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.4947522577495728
S34	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.5008162620464479
S35	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.49481152993348115
S36	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.3137946908086543
S37	IW	Inland wetland	NE	Non-saline soil	0.001	0.1%	0.5818906538164078
S61	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.3955640223159614
S62	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.4162627551020408
S63	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.4693446088794926
S65	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.4295889295889296
S85	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.38716591023701463
S86	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.46466922974943653
S87	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.3741787624140565
S88	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.4304390243902439
S89	CW	Coastal wetland	NC	Saline soil	0.001	0.1%	0.2858109741358472
S112	CW	Coastal wetland	YML	Saline soil	0.001	0.1%	0.4266453503863576
S113	CW	Coastal wetland	YML	Saline soil	0.001	0.1%	0.23329533219329912
S114	CW	Coastal wetland	YML	Saline soil	0.001	0.1%	0.2960036567846415
S161	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.43157466431574665
S162	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.4393257350828465
S164	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.41540191118605957
S165	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.4696880517951736
S166	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.4567612687813022
S167	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.5457729660882026
S168	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.5441914318795832
S169	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.49778831684071323
S170	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.41534052341805566
S171	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.40929802549032557
S172	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.417596848325673
S173	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.4505368773103327
S174	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.4024251302083333
S175	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.4207032210474551
S176	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.38606557377049183
S177	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.38635547576301615
S179	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.5802219006271104
S182	CW	Coastal wetland	SC	Saline soil	0.001	0.1%	0.5448191105307627
S187	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.4049328392774433
S188	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.3578551145743908
S191	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.365792651371399
S194	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.2724635679259617
S196	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.3272585107662697
S197	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.5943484665863131
S198	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.5921439491944019
S201	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.5265240742485631
S202	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.3577729299060988
S203	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.3282568915648427
S204	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.4796979865771812
S205	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.42886878552557844
S206	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.43768740629685154
S207	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.41060449260364035
S208	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.42181234963913394
S209	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.4333769532753445
S210	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.535401996440455
S213	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.569041450777202
S214	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.4757287400626355
S215	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.4595634039326147
S216	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.3581638667845564
S217	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.4217648517482022
S218	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.51182847700802
S219	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.529049849681885
S220	TW	Tibetan wetland	QTP	Saline soil	0.001	0.1%	0.5360951212607342
