FeatureState	Features	FeatureFraction	EqualSampleAbundanceMass	PooledReadAbundanceMass
Primary core	97	0.007117698855297916	0.17036121103173313	0.17590126383769533
Conditionally rare	200	0.0146756677428823	0.09388604764163365	0.09679811319589793
Persistently rare	8407	0.6168916935720575	0.172682530092607	0.17292102712280896
Sampling-limited	1155	0.0847519812151453	0.0015839439211248446	0.0016182308741904215
Intermediate	3769	0.27656295861461694	0.5614862673129014	0.5527613649694073
