SampleID	GroupCode	RelativeAbundanceClosure	FeatureStateClosure	PrimaryRareMass	MaximumAbsoluteClosureError
S1	IW	1	1.0000000000000018	0.5147208519301543	1.7763568394002505e-15
S2	IW	1	1.0000000000000002	0.5081079061425796	2.220446049250313e-16
S3	IW	1	1.0000000000000013	0.4578369539827143	1.3322676295501878e-15
S4	IW	1	0.9999999999999989	0.44134036144578315	1.1102230246251565e-15
S5	IW	1	0.999999999999998	0.3707482993197279	1.9984014443252818e-15
S6	IW	1	1.0000000000000029	0.36967813540510547	2.886579864025407e-15
S7	IW	1	1.0000000000000075	0.4071387449625792	7.549516567451064e-15
S9	IW	1	1.0000000000000064	0.5178098438426566	6.439293542825908e-15
S10	IW	1	1.0000000000000069	0.3279967288396817	6.8833827526759706e-15
S11	IW	1	0.9999999999999957	0.3514276941971139	4.3298697960381105e-15
S12	IW	1	0.9999999999999934	0.3533211137295976	6.5503158452884236e-15
S13	IW	1	0.9999999999999981	0.37577319587628866	1.887379141862766e-15
S15	IW	1	0.9999999999999977	0.4493865030674847	2.3314683517128287e-15
S16	IW	1	0.9999999999999997	0.4534656232532141	3.3306690738754696e-16
S17	IW	1	1.0000000000000022	0.43661173134857345	2.220446049250313e-15
S18	IW	1	1.0000000000000062	0.522347468241188	6.217248937900877e-15
S19	IW	1	1.0000000000000018	0.5404761904761904	1.7763568394002505e-15
S20	IW	1	1.000000000000009	0.52044263249854394	9.103828801926284e-15
S22	IW	1	1.0000000000000016	0.437333087761304	1.5543122344752192e-15
S23	IW	1	1.0000000000000024	0.4850470124355475	2.4424906541753444e-15
S24	IW	1	0.9999999999999932	0.42026159720529693	6.772360450213455e-15
S25	IW	1	1.0000000000000073	0.3773478889067266	7.327471962526033e-15
S26	IW	1	1.0000000000000024	0.4736497265268915	2.4424906541753444e-15
S27	IW	1	0.9999999999999969	0.5027069297401348	3.1086244689504383e-15
S28	IW	1	0.999999999999991	0.42173055351409894	8.992806499463768e-15
S30	IW	1	0.9999999999999976	0.4947522577495728	2.4424906541753444e-15
S34	IW	1	1	0.5008162620464479	0
S35	IW	1	0.9999999999999986	0.49481152993348115	1.4432899320127035e-15
S36	IW	1	0.999999999999996	0.3137946908086543	3.9968028886505635e-15
S37	IW	1	0.999999999999994	0.5818906538164078	5.995204332975845e-15
S61	CW	1	1.0000000000000056	0.3955640223159614	5.551115123125783e-15
S62	CW	1	1.0000000000000062	0.4162627551020408	6.217248937900877e-15
S63	CW	1	1.0000000000000027	0.4693446088794926	2.6645352591003757e-15
S65	CW	1	0.9999999999999867	0.4295889295889296	1.3322676295501878e-14
S85	CW	1	1.0000000000000038	0.38716591023701463	3.774758283725532e-15
S86	CW	1	0.9999999999999999	0.46466922974943653	1.1102230246251565e-16
S87	CW	1	1.0000000000000053	0.3741787624140565	5.3290705182007514e-15
S88	CW	1	1.0000000000000022	0.4304390243902439	2.220446049250313e-15
S89	CW	1	1.0000000000000033	0.2858109741358472	3.3306690738754696e-15
S112	CW	1	1.0000000000000073	0.4266453503863576	7.327471962526033e-15
S113	CW	1	0.9999999999999986	0.23329533219329912	1.4432899320127035e-15
S114	CW	1	0.9999999999999858	0.2960036567846415	1.4210854715202004e-14
S161	CW	1	0.9999999999999971	0.43157466431574665	2.886579864025407e-15
S162	CW	1	1.0000000000000044	0.4393257350828465	4.440892098500626e-15
S164	CW	1	0.999999999999994	0.41540191118605957	5.995204332975845e-15
S165	CW	1	1.0000000000000062	0.4696880517951736	6.217248937900877e-15
S166	CW	1	1.0000000000000064	0.4567612687813022	6.439293542825908e-15
S167	CW	1	1.0000000000000004	0.5457729660882026	4.440892098500626e-16
S168	CW	1	0.9999999999999942	0.5441914318795832	5.773159728050814e-15
S169	CW	1	0.9999999999999911	0.49778831684071323	8.881784197001252e-15
S170	CW	1	0.9999999999999992	0.41534052341805566	7.771561172376096e-16
S171	CW	1	1.0000000000000007	0.40929802549032557	6.661338147750939e-16
S172	CW	1	1.0000000000000013	0.417596848325673	1.3322676295501878e-15
S173	CW	1	1.0000000000000013	0.4505368773103327	1.3322676295501878e-15
S174	CW	1	0.9999999999999998	0.4024251302083333	2.220446049250313e-16
S175	CW	1	0.999999999999994	0.4207032210474551	5.995204332975845e-15
S176	CW	1	0.9999999999999976	0.38606557377049183	2.4424906541753444e-15
S177	CW	1	0.9999999999999946	0.38635547576301615	5.440092820663267e-15
S179	CW	1	0.9999999999999963	0.5802219006271104	3.6637359812630166e-15
S182	CW	1	1.0000000000000033	0.5448191105307627	3.3306690738754696e-15
S187	TW	1	1.0000000000000095	0.4049328392774433	9.547918011776346e-15
S188	TW	1	1.000000000000007	0.3578551145743908	7.105427357601002e-15
S191	TW	1	1.0000000000000004	0.365792651371399	4.440892098500626e-16
S194	TW	1	1.0000000000000044	0.2724635679259617	4.440892098500626e-15
S196	TW	1	1.0000000000000044	0.3272585107662697	4.440892098500626e-15
S197	TW	1	1.000000000000012	0.5943484665863131	1.199040866595169e-14
S198	TW	1	1.0000000000000024	0.5921439491944019	2.4424906541753444e-15
S201	TW	1	1.0000000000000182	0.5265240742485631	1.8207657603852567e-14
S202	TW	1	1.0000000000000016	0.3577729299060988	1.5543122344752192e-15
