Pattern	IW	CW	TW	CoreFeatures
IW	TRUE	FALSE	FALSE	79
CW	FALSE	TRUE	FALSE	60
TW	FALSE	FALSE	TRUE	166
IW + CW	TRUE	TRUE	FALSE	8
IW + TW	TRUE	FALSE	TRUE	20
CW + TW	FALSE	TRUE	TRUE	33
IW + CW + TW	TRUE	TRUE	TRUE	59
None	FALSE	FALSE	FALSE	13203
