GroupCode	Group	Samples	CoreFeatures	GroupCoreAbundanceMass	GlobalCoreFeaturesInGroupCore
IW	Inland wetland	30	166	0.27384743669438466	80
CW	Coastal wetland	30	160	0.2455614304206532	82
TW	Tibetan wetland	30	278	0.4071618251518449	89
