SampleID	CountTable	Metadata	GroupCode	Group	Type	Saline	LibrarySize
S1	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	25542
S2	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	26764
S3	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	12843
S4	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	13280
S5	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	17640
S6	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	22525
S7	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	17370
S9	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	25295
S10	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	31793
S11	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	16285
S12	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	11457
S13	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	13580
S15	TRUE	TRUE	IW	Inland wetland	NW	Non-saline soil	20864
S16	TRUE	TRUE	IW	Inland wetland	NW	Non-saline soil	14312
S17	TRUE	TRUE	IW	Inland wetland	NW	Non-saline soil	28215
S18	TRUE	TRUE	IW	Inland wetland	NW	Non-saline soil	27945
S19	TRUE	TRUE	IW	Inland wetland	NW	Non-saline soil	15540
S20	TRUE	TRUE	IW	Inland wetland	NW	Non-saline soil	17170
S22	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	21718
S23	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	16485
S24	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	12309
S25	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	37374
S26	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	35104
S27	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	16624
S28	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	25853
S30	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	12291
S34	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	18989
S35	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	11275
S36	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	13034
S37	TRUE	TRUE	IW	Inland wetland	NE	Non-saline soil	16809
S61	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	14698
S62	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	15680
S63	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	15609
S65	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	34398
S85	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	15864
S86	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	15086
S87	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	13090
S88	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	15375
S89	TRUE	TRUE	CW	Coastal wetland	NC	Saline soil	20685
S112	TRUE	TRUE	CW	Coastal wetland	YML	Saline soil	18765
S113	TRUE	TRUE	CW	Coastal wetland	YML	Saline soil	31578
S114	TRUE	TRUE	CW	Coastal wetland	YML	Saline soil	30628
S161	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	14746
S162	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	20882
S164	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	10674
S165	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	13592
S166	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	14975
S167	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	12562
S168	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	10364
S169	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	21929
S170	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	13259
S171	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	15143
S172	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	15230
S173	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	11362
S174	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	12288
S175	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	12201
S176	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	14640
S177	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	11140
S179	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	10365
S182	TRUE	TRUE	CW	Coastal wetland	SC	Saline soil	13019
S187	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	25908
S188	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	15143
S191	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	11594
S194	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	14479
S196	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	16626
