Pathway	Description	MedianCoverage	MinimumCoverage	MaximumCoverage
PWY-7977	NA	0.24931855210348852	2.2649739997434943e-10	0.9899697239522935
PWY-8073	NA	0.00188918630887331	0	0.3424567133381391
PWY-8178	NA	0.9961551584677479	0.00668217320923282	1
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	4.328624999996674e-13	0	0.37694185602168534
PWY0-1061	superpathway of L-alanine biosynthesis	0.0039599227386962095	0	0.4962214210110638
PWY0-1319	CDP-diacylglycerol biosynthesis II	0.7490645604163106	0.10713679281120046	0.9999980396199172
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	1	1	1
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	0.01246540619364572	0	0.5057881363953872
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	0.22375281407321285	0	0.868674074387234
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	0.5497418136712952	0.10771087206550928	0.9252832989221152
THISYNARA-PWY	superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	3.1608413328082346e-10	0	0.02451608538429646
THRESYN-PWY	superpathway of L-threonine biosynthesis	0	0	0.9993658178968944
TRNA-CHARGING-PWY	tRNA charging	0.9207956572868596	0.6585493508767807	0.9999988896525724
VALSYN-PWY	L-valine biosynthesis	0.25723761471379875	2.2649739997434532e-10	0.7575494076213714
