object	orientation	rows	columns	sha256	expected_sha256	status
otutab	features × samples	13628	90	76fa79c38da889f35978dc86da4641a270961746709ff38049ee5f67e3c6f7a3	76fa79c38da889f35978dc86da4641a270961746709ff38049ee5f67e3c6f7a3	PASS
taxonomy	features × taxonomic ranks	13628	7	725280bb9a0cd9bda7b540022e92af945ceed52527f8b2d220b055b4489f6901	725280bb9a0cd9bda7b540022e92af945ceed52527f8b2d220b055b4489f6901	PASS
metadata	samples × variables	90	3	df24771dccf27607ddf922c6bca2cafa876d946fbe2e09d14b601accce66ba64	df24771dccf27607ddf922c6bca2cafa876d946fbe2e09d14b601accce66ba64	PASS
