object	metric	reference_value	observed_value	status
phyloseq	features	13628	13628	PASS
phyloseq	samples	90	90	PASS
phyloseq	total_reads	1619670	1619670	PASS
microtable	features	13628	13628	PASS
microtable	samples	90	90	PASS
microtable	total_reads	1619670	1619670	PASS
