SampleID	OriginalLibrarySize	RetainedReads	DiscardedReads	Seed
TS100.2	1117	1000	117	20260729
TS100	1655	1000	655	20260729
TS103.2	1493	1000	493	20260729
TS104	1023	1000	23	20260729
TS105.2	1179	1000	179	20260729
TS106.2	1108	1000	108	20260729
TS106	1126	1000	126	20260729
TS107.2	1972	1000	972	20260729
TS107	1461	1000	461	20260729
TS109.2	1120	1000	120	20260729
TS109	1413	1000	413	20260729
TS10	1609	1000	609	20260729
TS11.2	1696	1000	696	20260729
TS110.2	2714	1000	1714	20260729
TS110	1102	1000	102	20260729
TS111.2	1646	1000	646	20260729
TS111	2083	1000	1083	20260729
TS115	1004	1000	4	20260729
TS116.2	1088	1000	88	20260729
TS116	2717	1000	1717	20260729
TS117.2	1477	1000	477	20260729
TS117	1463	1000	463	20260729
TS118.2	1181	1000	181	20260729
TS118	1501	1000	501	20260729
TS119.2	1827	1000	827	20260729
TS119	1700	1000	700	20260729
TS11	1643	1000	643	20260729
TS12.2	1188	1000	188	20260729
TS120.2	1263	1000	263	20260729
TS124.2	1497	1000	497	20260729
TS124	1599	1000	599	20260729
TS125.2	1159	1000	159	20260729
TS125	1661	1000	661	20260729
TS126.2	1895	1000	895	20260729
TS126	1174	1000	174	20260729
TS127.2	1226	1000	226	20260729
TS127	2127	1000	1127	20260729
TS128.2	1884	1000	884	20260729
TS128	2726	1000	1726	20260729
TS129.2	1562	1000	562	20260729
TS129	1300	1000	300	20260729
TS12	1376	1000	376	20260729
TS130.2	1776	1000	776	20260729
TS130	1535	1000	535	20260729
TS131.2	1724	1000	724	20260729
TS131	1656	1000	656	20260729
TS132.2	2156	1000	1156	20260729
TS132	1344	1000	344	20260729
TS133.2	2037	1000	1037	20260729
TS133	1202	1000	202	20260729
TS134.2	1331	1000	331	20260729
TS135.2	1254	1000	254	20260729
TS135	1562	1000	562	20260729
TS136.2	1921	1000	921	20260729
TS136	1239	1000	239	20260729
TS137.2	1190	1000	190	20260729
TS137	1712	1000	712	20260729
TS138	1604	1000	604	20260729
TS139.2	1469	1000	469	20260729
TS139	1741	1000	741	20260729
TS13	4237	1000	3237	20260729
TS140	1474	1000	474	20260729
TS141.2	1425	1000	425	20260729
TS141	1292	1000	292	20260729
TS142.2	1805	1000	805	20260729
