State	BMIClass	Samples	WithinStateFraction
DMM-A	Lean	15	0.17647058823529413
DMM-B	Lean	37	0.43023255813953487
DMM-C	Lean	5	0.10869565217391304
DMM-D	Lean	4	0.06557377049180328
DMM-A	Obese	64	0.7529411764705882
DMM-B	Obese	41	0.47674418604651164
DMM-C	Obese	38	0.8260869565217391
DMM-D	Obese	50	0.819672131147541
DMM-A	Overweight	6	0.07058823529411765
DMM-B	Overweight	8	0.09302325581395349
DMM-C	Overweight	3	0.06521739130434782
DMM-D	Overweight	7	0.11475409836065574
