Seed	Laplace	AIC	BIC	ARIToPrimary	MeanMatchedJSD	StateSizes	ElapsedSeconds
20260729	38838.42321803172	39476.69196903269	40425.314890262795	1	0	85/86/46/61	47.15
20260730	38838.6043772479	39476.69197312965	40425.314894359755	1	1.0822172414252107e-11	85/86/46/61	48.587
20260731	38838.59058133343	39476.6919694365	40425.3148906666	1	9.562299881477118e-12	85/86/46/61	49.032
20260732	38838.42937304925	39476.691973318775	40425.31489454888	1	1.6017502046267196e-11	85/86/46/61	48.402
20260733	38838.60012790776	39476.691969813095	40425.3148910432	1	6.316674659437575e-12	85/86/46/61	47.936
20260734	38838.59508325444	39476.69197539899	40425.3148966291	1	3.438890375469951e-11	85/86/46/61	46.683
20260735	38838.28463072295	39476.69197207141	40425.31489330151	1	2.5115162149490958e-11	85/86/46/61	46.683
20260736	38838.59821116901	39476.691967501705	40425.31488873181	1	1.9086935223206087e-11	85/86/46/61	47.553
