NoSuffixState	Dot2SuffixState	ParticipantPairs
DMM-A	DMM-A	20
DMM-B	DMM-A	6
DMM-C	DMM-A	8
DMM-D	DMM-A	3
DMM-A	DMM-B	5
DMM-B	DMM-B	31
DMM-C	DMM-B	0
DMM-D	DMM-B	0
DMM-A	DMM-C	7
DMM-B	DMM-C	3
DMM-C	DMM-C	10
DMM-D	DMM-C	0
DMM-A	DMM-D	5
DMM-B	DMM-D	1
DMM-C	DMM-D	1
DMM-D	DMM-D	24
