Branch	K	Seed	Samples	Features	NLE	LogDet	Laplace	BIC	AIC	ElapsedSeconds	SelectedLaplace	SelectedAIC	SelectedBIC
Primary	1	20260729	278	130	39162.11177567569	369.45208622388793	39227.37580947102	39527.90714806558	39292.11177567569	0.7999999999999998	0	0	1
Prevalence >= 5%	1	20260829	278	67	37064.204661488744	299.8236245314032	37152.54759202973	37252.72996879738	37131.204661488744	0.2520000000000002	0	0	0
Depth >= 1,000	1	20260929	247	130	35805.33699081799	359.538566813208	35865.64426490798	36163.4472326988	35935.33699081799	0.798	0	0	1
Rarefied to 1,000	1	20261029	247	130	29174.518374635598	289.90425255211744	29200.008491595047	29532.628616516417	29304.518374635598	0.77	0	0	1
One per participant	1	20261129	154	130	22230.744260963522	286.646121814784	22254.605312554304	22558.146180120406	22360.744260963522	0.6189999999999998	0	1	1
Primary	2	20260729	278	130	38854.52784217263	515.5713390421821	38872.47055452731	39588.93239750926	39115.52784217263	17.369	0	1	0
Prevalence >= 5%	2	20260829	278	67	36610.99757317245	487.44838449649075	36730.66506343806	36990.86199834657	36745.99757317245	2.6270000000000002	0	0	1
Depth >= 1,000	2	20260929	247	130	35553.86428214922	487.3050492790129	35557.673849622304	36272.839460079165	35814.86428214922	15.753000000000002	1	1	0
Rarefied to 1,000	2	20261029	247	130	28971.99904573295	381.11538514622805	28922.713781139646	29690.974223662903	29232.99904573295	14.672000000000002	1	1	0
One per participant	2	20261129	154	130	22221.384728694116	352.33287277868095	22157.708207917036	22878.707043309096	22482.384728694116	7.506	1	0	0
Primary	3	20260729	278	130	38898.1372777347	632.7145692143318	38854.27065732564	40001.15101601806	39290.1372777347	41.953	0	0	0
Prevalence >= 5%	3	20260829	278	67	36485.13342318609	663.7914428718393	36630.48462238146	37056.33696622569	36688.13342318609	36.163	0	0	0
Depth >= 1,000	3	20260929	247	130	35639.525329245116	594.8961539713787	35576.749501214574	36719.3654432242	36031.525329245116	30.494000000000003	0	0	0
Rarefied to 1,000	3	20261029	247	130	29129.509257506885	449.50834089391566	28994.03952293761	30209.34937148597	29521.509257506885	27.668000000000003	0	0	0
One per participant	3	20261129	154	130	22452.25206171881	399.9561051627367	22292.006209283947	23439.49477179188	22844.25206171881	14.955000000000002	0	0	0
Primary	4	20260729	278	130	38953.69196903269	730.6722037301449	38838.42321803172	40425.314890262795	39476.69196903269	47.15	1	0	0
Prevalence >= 5%	4	20260829	278	67	36377.65235593686	825.6638788134418	36541.45195284511	37140.19501684194	36648.65235593686	14.804	1	1	0
Depth >= 1,000	4	20260929	247	130	35739.36748667456	685.3056486634707	35601.41545814025	37180.07253670277	36262.36748667456	34.321	0	0	0
Rarefied to 1,000	4	20261029	247	130	29245.435026065014	533.786006028689	29031.723176213316	30686.14007609323	29768.435026065014	32.188	0	0	0
One per participant	4	20261129	154	130	22612.390913628864	481.6905419299648	22372.631331727804	23929.554019160027	23135.390913628864	16.575000000000003	0	0	0
Primary	5	20260729	278	130	39154.209642541944	872.1558262575311	38989.30175495485	40994.44174671878	39808.209642541944	49.759	0	0	0
Prevalence >= 5%	5	20260829	278	67	36422.287749982075	989.7607605799318	36605.64796751565	37376.16952875264	36761.287749982075	25.529	0	0	0
Depth >= 1,000	5	20260929	247	130	35946.904056078376	760.44933985315	35726.142925289096	37748.47404215572	36600.904056078376	42.92100000000001	0	0	0
Rarefied to 1,000	5	20261029	247	130	29478.940843615386	622.3931823041755	29189.15163405162	31280.510829692736	30132.940843615386	33.963	0	0	0
One per participant	5	20261129	154	130	22930.797450331196	540.7936534670979	22600.20847634889	24577.880951320454	23584.797450331196	21.497	0	0	0
Primary	6	20260729	278	130	39369.36562894659	975.0106899882069	39135.50422537502	41578.206916070165	40154.36562894659	39.605000000000004	0	0	0
Prevalence >= 5%	6	20260829	278	67	36450.18100049543	1201.4576018598502	36676.901818411054	37595.40189713147	36857.18100049543	25.298000000000002	0	0	0
Depth >= 1,000	6	20260929	247	130	36216.517760599796	873.4536277924043	35931.87782593033	38378.952682726274	37001.517760599796	99.492	0	0	0
Rarefied to 1,000	6	20261029	247	130	29754.618821813332	679.7559224211079	29373.130034458216	31917.053743939814	30539.618821813332	41.823	0	0	0
One per participant	6	20261129	154	130	23181.641771015667	596.2411905595227	22758.39561772976	25158.645667463017	23966.641771015667	18.741	0	0	0
Primary	7	20260729	278	130	39633.505857553064	1088.8114565215992	39336.16388939838	42210.956327623375	40549.505857553064	99.88000000000001	0	0	0
Prevalence >= 5%	7	20260829	278	67	36538.423303983625	1379.0709351107703	36791.46296826679	37874.98331848515	37013.423303983625	71.85600000000001	0	0	0
Depth >= 1,000	7	20260929	247	130	36461.13345842099	1012.2244829944732	36125.49800350275	38984.4333165966	37377.13345842099	105.833	0	0	0
Rarefied to 1,000	7	20261029	247	130	30000.099508588974	781.268069295247	29548.985846821117	32523.39936676459	30916.099508588974	56.311	0	0	0
One per participant	7	20261129	154	130	23510.66298580473	665.9917425442266	23001.911160661362	25817.587277710172	24426.66298580473	27.126	0	0	0
