Branch	Seed	Samples	Features	SelectedKLaplace	SelectedKAIC	SelectedKBIC	FixedK	MinimumStateSize	MaximumStateSize	OverlapWithPrimary	AdjustedRandIndex	MeanMatchedJSD	MaximumMatchedJSD
Primary	20260729	278	130	4	2	1	4	46	86	278	1	0	0
Prevalence >= 5%	20260829	278	67	4	4	2	4	47	85	278	0.9035134477206641	2.4087158991272704e-4	4.800990064228564e-4
Depth >= 1,000	20260929	247	130	2	2	1	4	41	83	247	0.9284259842715803	8.342846543787067e-4	0.0025367599167033703
Rarefied to 1,000	20261029	247	130	2	2	1	4	38	80	247	0.9056087505469722	0.0017900531387434577	0.0031838279104523114
One per participant	20261129	154	130	2	1	1	4	22	55	154	0.6795169172364904	0.005220377298667388	0.010719594760768964
