Trait	ObservedRho	NullLower	NullMedian	NullUpper	PValue	ShortRangePairs	QValue	Supported
pH	0.0426905438148528	-0.0444046907120348	-0.000738854757944491	0.0426202037136221	0.028	17083	0.042	TRUE
Conductivity	0.172253666774457	-0.0394704961449438	-0.000177069973360797	0.0452854905616149	0.002	17083	0.006	TRUE
TOC	0.0300661614806999	-0.0441542393669463	0.00135720200519048	0.0509205506863708	0.102	17083	0.102	FALSE
