SampleID	Group	Model	AIC	DeltaAIC
S1	IW	Null	32278.5119975725	20163.4387722185
S2	IW	Null	32801.6125543416	20754.2783462328
S3	IW	Null	16213.3161356606	8825.37742220148
S4	IW	Null	17574.2777080598	10345.884389246
S5	IW	Null	29134.2718408495	21219.2871526318
S6	IW	Null	36950.7939648954	28192.3663528939
S7	IW	Null	23674.6064705596	15464.2975010584
S9	IW	Null	31415.972960976	19084.5698844018
S10	IW	Null	63337.8515354423	52864.6840224834
S11	IW	Null	32091.3979069427	24266.1300263461
S12	IW	Null	20878.13010154	14852.4041099186
S13	IW	Null	23314.4914133644	16327.4507984079
S15	IW	Null	23108.6834721238	13283.4530218
S16	IW	Null	17777.6280458544	9789.71554126215
S17	IW	Null	39606.473710413	27890.6235358057
S18	IW	Null	35412.718714945	21461.033961682
S19	IW	Null	19047.5184198528	9928.2394351802
S20	IW	Null	22551.5320495712	11202.2046818925
S22	IW	Null	29888.5590868732	19223.8927893545
S23	IW	Null	21756.6012560726	11914.8149192996
S24	IW	Null	19789.2440762528	12457.5288473286
S25	IW	Null	67335.8402054614	54233.5460150066
S26	IW	Null	44011.1291001796	30946.386151287
S27	IW	Null	22940.5994749027	13473.9329464221
S28	IW	Null	45488.1505969463	33402.0315091331
S30	IW	Null	16529.3903806759	8457.25342715181
S34	IW	Null	20829.1946604078	10765.7801136873
S35	IW	Null	12457.2112361196	4859.57193572265
S36	IW	Null	22573.564354436	16291.8657338643
S37	IW	Null	17931.3845546032	7250.88056284604
S61	CW	Null	23503.2218977066	15840.880714045
S62	CW	Null	31917.1117660557	23600.4951414736
S63	CW	Null	22795.8302372801	14048.8784786943
S65	CW	Null	67165.8911022354	53630.6737312145
S85	CW	Null	33425.674929602	25242.7006952989
S86	CW	Null	21495.1219292102	12788.5267133919
S87	CW	Null	37375.2200799556	29910.3376621852
S88	CW	Null	22268.6192390325	13723.8670082482
S89	CW	Null	65608.1694330718	57916.9525367263
S112	CW	Null	33887.10052386	24548.780270277
S113	CW	Null	115467.156354869	105330.322738859
S114	CW	Null	85954.5327199184	76571.3617542995
S161	CW	Null	17735.0463392663	9838.99088201679
S162	CW	Null	22480.2468467865	13081.6412573932
S164	CW	Null	10889.0371440159	4801.24360964001
S165	CW	Null	15179.9774229447	7254.15477636196
S166	CW	Null	16829.8936510375	8764.71133513327
S167	CW	Null	14011.8471013236	5404.10492117003
S168	CW	Null	12786.5692813231	5495.53481196348
S169	CW	Null	32194.5185966351	21052.1169695465
S170	CW	Null	14717.0176716615	7939.14289352323
S171	CW	Null	19687.093220662	12310.3676483772
S172	CW	Null	16809.3434823405	9051.26833499603
S173	CW	Null	12433.4503493231	5572.91865577047
S174	CW	Null	15252.9439298307	8620.01853715179
S175	CW	Null	12519.6328428115	5880.76333247692
S176	CW	Null	17768.006512234	10584.6922474214
S177	CW	Null	12582.5568085649	6664.21710128241
S179	CW	Null	12509.7043629382	4882.42949545869
S182	CW	Null	14207.0357432472	5858.9296682459
S187	TW	Null	42349.9899717388	32371.3949942856
S188	TW	Null	22603.6663922227	15600.7140157035
S191	TW	Null	16679.8050908889	10710.8572224708
S194	TW	Null	27779.2324836669	21785.5649421101
S196	TW	Null	28267.6121441181	21686.330815424
S197	TW	Null	15643.9338358792	5723.19200559109
S198	TW	Null	17484.6563915506	6964.61076659967
S201	TW	Null	35588.8887483997	21881.067933008
S202	TW	Null	42637.613971277	33973.4298334271
S203	TW	Null	27507.2353083183	20825.3888778077
S204	TW	Null	14296.7721063876	6844.56088584445
S205	TW	Null	17822.5284475795	11068.344180543
S206	TW	Null	13993.6243125481	7592.38620828321
S207	TW	Null	23760.0935154552	15680.5600398741
S208	TW	Null	19723.7963754309	12777.3204595287
S209	TW	Null	16156.4331788781	8854.312847763
S210	TW	Null	29003.1077687977	16991.4942907567
S213	TW	Null	15623.2881493791	5725.84820374146
S214	TW	Null	19931.9153055613	11031.4349687396
S215	TW	Null	22255.5203587012	13349.0718110786
S216	TW	Null	18702.9343229628	12349.2342284298
S217	TW	Null	39409.5817976488	28490.6757563863
S218	TW	Null	37327.6182995956	24586.9099460996
S219	TW	Null	20234.053803395	11457.3715860737
S220	TW	Null	13263.7754909906	5504.52673875421
