FeatureID	DisplayTaxon	Prevalence	TotalReads	LevinsB	StandardizedBreadth	BreadthClass
OTU_236	Chloroflexi	0.344444444444444	465	5.41333041058284	0.0495879821413802	Intermediate
OTU_399	Nitrosomonadaceae	0.8	463	17.3483543648143	0.183689374885554	Intermediate
OTU_1556	Subgroup 17	0.877777777777778	548	22.0415507738862	0.23642191880771	Intermediate
OTU_32	Miscellaneous Crenarchaeotic Group	1	2123	22.1591454838726	0.237743207683962	Intermediate
OTU_3692	Rhodobacter	0.933333333333333	547	41.8553888537324	0.459049312963285	Broad decile
OTU_50	Comamonadaceae	0.955555555555556	2724	13.97256498398	0.14575915712337	Intermediate
OTU_999	Desulfocapsa	0.677777777777778	326	16.3614253429392	0.172600284752126	Intermediate
OTU_305	Syntrophus	0.877777777777778	1441	27.2067364520739	0.294457712944651	Broad decile
OTU_13742	Comamonadaceae	0.744444444444444	314	31.3691636746274	0.341226558141881	Broad decile
OTU_408	Geoalkalibacter	0.966666666666667	991	32.9090452023354	0.35852859777905	Broad decile
OTU_6426	Xanthomonadales Incertae Sedis	0.966666666666667	1267	24.5191792593324	0.264260441116095	Intermediate
OTU_75	Rhodocyclaceae	0.955555555555556	1104	8.39919998308888	0.0831370784616729	Intermediate
OTU_2069	SC-I-84	0.844444444444444	338	28.4293884217054	0.30819537552478	Broad decile
OTU_356	Halieaceae	0.966666666666667	875	20.7827076509989	0.222277614056167	Intermediate
OTU_825	Anaerolinea	0.611111111111111	223	23.9933411067605	0.258352147266972	Intermediate
OTU_482	Haloferula	0.511111111111111	368	16.4230756418898	0.173292984740335	Intermediate
OTU_1	Clostridium sensu stricto 13	0.988888888888889	16783	7.81857636698044	0.0766132176065218	Intermediate
OTU_2268	Coriobacteriaceae	0.577777777777778	184	16.1001459225613	0.169664560927655	Intermediate
OTU_296	Anaerolineaceae	0.788888888888889	435	9.33696405691974	0.0936737534485364	Intermediate
OTU_1515	Comamonadaceae	0.744444444444444	268	25.9667853795093	0.280525678421453	Intermediate
OTU_1952	Christensenellaceae R-7 group	0.588888888888889	237	22.5156027744478	0.241748345780313	Intermediate
OTU_791	Gemmatimonadaceae	0.644444444444444	124	33.4385718327982	0.36447833519998	Broad decile
OTU_1628	Thermoanaerobaculum	0.433333333333333	132	14.6006867454447	0.152816705004996	Intermediate
OTU_4304	Subgroup 6	0.7	248	30.7026572838636	0.333737722290602	Broad decile
OTU_41	PeM15	0.977777777777778	2145	5.24940988281079	0.0477461784585482	Intermediate
OTU_59	Draconibacteriaceae	0.988888888888889	6403	15.8972853055635	0.167385228152399	Intermediate
OTU_792	Rhizobiales	0.833333333333333	272	38.8640508293725	0.425438773363736	Broad decile
OTU_2733	RB41	0.833333333333333	772	19.8954062739698	0.212307935662582	Intermediate
OTU_609	Aminicenantes	0.566666666666667	511	5.79560190881206	0.0538831675147423	Intermediate
OTU_1069	Acidimicrobiales	0.733333333333333	310	22.7936398129353	0.244872357448712	Intermediate
OTU_2753	Methanobacterium	0.322222222222222	119	6.95212274144463	0.0668777836117374	Intermediate
OTU_5031	Subgroup 6	0.4	160	13.5487307031535	0.140996974192736	Intermediate
OTU_4050	Subgroup 15	0.311111111111111	214	11.3671938238941	0.116485323863979	Intermediate
OTU_52	Bradyrhizobium	0.988888888888889	2536	25.3073707794835	0.273116525612174	Intermediate
OTU_6499	Roseomonas	0.566666666666667	180	17.2695175238002	0.182803567683148	Intermediate
