Model	Term	Estimate	SE	Lower	Upper	PValue
Mediator model	(Intercept)	-0.378017156106851	0.170789217743579	-0.716817022315325	-0.0392172898983777	0.0291233465769262
Mediator model	SteroidExposureYes	-0.37934609352438	0.210338845522139	-0.796601782512536	0.0379095954637765	0.0742911128554645
Mediator model	StudyGroupUC	0.505265368718474	0.20595741381268	0.096701261649703	0.913829475787244	0.0158700151034546
Mediator model	AgeZ	-0.0603951535847951	0.0897896598135699	-0.238513685501811	0.117723378332221	0.502719166285808
Mediator model	AntibioticYes	-0.475697089128119	0.283097494776778	-1.03728636637588	0.0858921881196383	0.0959836849079355
Mediator model	ImmunosuppressantYes	0.363192791149235	0.191798573122456	-0.0172839846764284	0.743669566974899	0.0611378407707213
Mediator model	MesalamineYes	0.498897430554101	0.220632742134159	0.0612214197154607	0.936573441392741	0.0258902175782682
Outcome model	(Intercept)	4.53130493401283	0.242276523650022	4.05063521148429	5.01197465654137	2.00961345541787e-34
Outcome model	SteroidExposureYes	0.0861419516557537	0.296052024907617	-0.501216833762183	0.67350073707369	0.771677685200568
Outcome model	FaecalibacteriumCLR	-0.0239743309350684	0.137849462660192	-0.297463738696666	0.249515076826529	0.862282473702752
Outcome model	StudyGroupUC	0.226051279431768	0.293705326630376	-0.356651723441555	0.80875428230509	0.44331981760962
Outcome model	AgeZ	0.00286736431210707	0.124670192736756	-0.244474747286458	0.250209475910672	0.981696425229295
Outcome model	AntibioticYes	-0.697810231669747	0.397638980759065	-1.48671464415047	0.0910941808109725	0.0823419397818182
Outcome model	ImmunosuppressantYes	-0.0431484725296198	0.270387599596529	-0.579589769091083	0.493292824031843	0.873533755632356
Outcome model	MesalamineYes	0.074406494469201	0.313299355095281	-0.547170502811633	0.695983491750035	0.812760017322497
