Effect	Estimate	Lower	Upper	PValue
ACME (indirect)	0.0101826422537858	-0.104591457843105	0.137026282625345	0.846
ADE (direct)	0.102460682704147	-0.605864547568623	0.780869773886075	0.77
Total effect	0.112643324957933	-0.571487360120375	0.759193907489674	0.74
Proportion mediated	-0.0132690133772886	-1.55073309089892	1.95445993328232	0.9
