SampleID	Stage	PC1	PC2	Plate	Subject
P1101C01701R00	Before adjustment	-6.4837761744693	-4.49629205426837	Plate 3	Subject 1101
P1101C01702R00	Before adjustment	7.10047511267688	8.27940821657829	Plate 3	Subject 1101
P1101C01703R00	Before adjustment	2.55079663353826	4.47133378315485	Plate 3	Subject 1101
P1101C08701R00	Before adjustment	-7.08044818207071	-6.74123004223816	Plate 3	Subject 1101
P1101C08702R00	Before adjustment	0.127687843233204	4.98241541379089	Plate 3	Subject 1101
P1101C08703R00	Before adjustment	6.1188412288143	8.57345873675535	Plate 3	Subject 1101
P1101C15701R00	Before adjustment	-6.60535961876693	-6.57411683090211	Plate 3	Subject 1101
P1101C15702R00	Before adjustment	-0.503322117277585	3.06753966479298	Plate 3	Subject 1101
P1101C15703R00	Before adjustment	-4.27922900532079	1.31251144719633	Plate 3	Subject 1101
P1101H01702R00	Before adjustment	1.81325864654051	1.39041593610173	Plate 6	Subject 1101
P1101H01703R00	Before adjustment	6.37007171289328	5.576409084826	Plate 6	Subject 1101
P1101H01704R00	Before adjustment	2.74798541121347	1.87476271281176	Plate 6	Subject 1101
P1101H01705R00	Before adjustment	-2.0480966742103	1.0645624073381	Plate 6	Subject 1101
P1101H01706R00	Before adjustment	-3.70321512866432	2.45650565446205	Plate 6	Subject 1101
P1101H01707R00	Before adjustment	-4.81734041004623	-4.68595908457864	Plate 6	Subject 1101
P1101H02701R00	Before adjustment	-7.42776324096009	-7.46902368513408	Plate 6	Subject 1101
P1101H02703R00	Before adjustment	6.3323736491055	1.09384782653928	Plate 6	Subject 1101
P1101H02704R00	Before adjustment	1.2461093210926	2.79616517515248	Plate 6	Subject 1101
P1101H02705R00	Before adjustment	-7.67146248536849	1.35469513736069	Plate 6	Subject 1101
P1101H02706R00	Before adjustment	-2.47184253382157	6.05912452704336	Plate 6	Subject 1101
P1101H02707R00	Before adjustment	-0.783987619534226	-1.92547747959092	Plate 6	Subject 1101
P1101H03701R00	Before adjustment	-5.07397735006718	-6.10717273041547	Plate 6	Subject 1101
P1101H03702R00	Before adjustment	5.42118103850074	4.64640177048525	Plate 6	Subject 1101
P1101H03703R00	Before adjustment	8.04156667255611	4.34268394272071	Plate 6	Subject 1101
P1101H03704R00	Before adjustment	0.971587178473249	-1.86897566427589	Plate 6	Subject 1101
P1101H03705R00	Before adjustment	-2.68129793844857	-4.04136640650473	Plate 6	Subject 1101
P1101H03706R00	Before adjustment	-5.04631073992401	5.48742431907656	Plate 6	Subject 1101
P1101H03707R00	Before adjustment	1.00579888577478	-1.84136825796542	Plate 6	Subject 1101
