FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Prevalence	TotalReads	HabitatP	HabitatR2	SubjectP	SubjectR2	PlateP	PlateR2	HabitatQ	PlateQ
Seq1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.996289424860853	4510569	7.73790928781625e-52	0.368757493236947	7.26867498540396e-06	0.0275568468182558	0.360231487281656	0.00366353386077264	2.01185641483222e-50	0.507796192915106
Seq2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0.98886827458256	1346837	5.71714475730604e-35	0.236555721281134	3.09810906953111e-26	0.151419786732001	0.18098076396689	0.00563311675676948	4.45937291069871e-34	0.298235906818678
Seq4	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0.957328385899815	980494	2.0849287883704e-55	0.25705008652086	1.9491568239639e-73	0.342450994256851	0.000188668189131245	0.014738582969196	8.13122227464457e-54	0.0013378289774761
Seq5	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0.653061224489796	606283	9.0995343748897e-64	0.417664056838564	1.1654008283708e-11	0.0527364189169367	0.311044954592185	0.00357804167064311	7.09763681241397e-62	0.452077760090505
Seq6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XI	Gemella	0.99443413729128	557572	4.4775507746665e-36	0.276802616289932	7.95224144925665e-07	0.0375221340026484	0.973213730943811	0.000294265011909365	4.02979569719985e-35	0.977390613909235
Seq7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unknown	0.49721706864564	350289	2.34391644612471e-28	0.048574248026963	8.77172523606471e-207	0.790826862602036	0.00340885470170149	0.00410500456714077	1.09695289678637e-27	0.0122718769261254
Seq8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0.871985157699443	304060	1.25515201336085e-10	0.0847642718808297	2.82312192143297e-24	0.167728117200348	0.0226639710816206	0.0134303085054661	2.0538851127723e-10	0.0576453177510784
Seq9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0.896103896103896	274169	5.12564152167294e-43	0.285911079403522	2.62143073897356e-22	0.120314425118328	0.00545852594919509	0.0140697652832577	7.99600077380979e-42	0.0174971927686528
Seq10	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0.612244897959184	227637	1.59170212799234e-25	0.196177737805156	2.08445647373298e-13	0.0828331324705603	0.0151488167017155	0.0141339331613492	6.5343561043896e-25	0.041703801272958
Seq11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0.936920222634508	221984	1.08316757040366e-32	0.211652714028861	2.92794935592963e-34	0.198984410103606	0.217164463555832	0.0049464586001481	7.45474151395457e-32	0.350458513600445
Seq12	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0.786641929499072	201784	5.4908098757393e-24	0.199034013202082	0.00141022127104645	0.0193091285907523	0.0116855826445511	0.0161420469247379	1.88948457488676e-23	0.0337583498620365
Seq13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	unknown	0.975881261595547	199610	1.16289165535494e-46	0.296732152214584	3.76494528376232e-27	0.142139823799273	0.00417258822813841	0.0138942350078875	2.09320497963889e-45	0.0143586124321234
Seq14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.808905380333952	193909	4.21559166335856e-40	0.220814624773715	3.46876244859508e-54	0.28894615750889	0.145380133442221	0.00498359113572351	4.69737356774239e-39	0.253872770339401
Seq15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0.88682745825603	192541	6.29115642523928e-56	0.351793356007437	1.44114147880358e-22	0.109755701697098	0.000920728199959497	0.0165235197015653	2.94426120701198e-54	0.00516381229686658
Seq16	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unknown	0.89239332096475	148987	6.12240719026675e-18	0.136124911402585	3.35873199516644e-23	0.153062368636097	0.255224709110038	0.00544779219826993	1.60971155339598e-17	0.38791010728796
Seq17	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0.851576994434137	139097	1.04910112247077e-31	0.188581788443266	2.86858976631911e-46	0.263199470150281	0.0236165480112684	0.00975757984657874	6.63485574751785e-31	0.0594222820928689
Seq18	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unknown	0.495361781076067	133537	1.80360744906953e-28	0.114066041569966	1.17308191121637e-99	0.502705446526015	2.07727032572892e-05	0.0173115235254609	8.61314577718917e-28	0.000220946025554803
Seq19	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0.760667903525046	93724	1.1018356674323e-19	0.134847657884222	2.51625257348807e-33	0.209623904007551	0.00116963696539482	0.0195057954945021	3.0693993592757e-19	0.0060582043440466
Seq20	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0.812615955473098	108264	1.69279933838218e-56	0.366101133372807	1.92964090450008e-17	0.0843608946963968	0.00523701900135848	0.0131120283279662	9.90287612953576e-55	0.0170203117544151
Seq21	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0.703153988868275	101832	3.12750357715494e-40	0.227709272159841	1.35465152714516e-46	0.245816981624922	2.55602712031662e-06	0.0279042114996193	3.65917918527128e-39	3.98740230769392e-05
Seq22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	0.645640074211503	88278	5.96210686410837e-31	0.039605192027049	2.24378708159279e-242	0.843034175597263	0.125293348131509	0.00126882187413469	3.57726411846502e-30	0.231976748349077
Seq23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.551020408163265	84738	3.74760020859763e-15	0.109812854688205	1.53129014267335e-31	0.208117884698161	0.0828505503191707	0.00858214713323505	8.27300423407402e-15	0.165701100638341
Seq24	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0.207792207792208	98861	1.45333844515096e-26	0.111762180802248	7.11000710872757e-96	0.50055486066119	0.523827924484235	0.00164385566352533	6.41662634274196e-26	0.648548858885243
Seq25	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0.838589981447124	72236	5.65081885236816e-21	0.181781778260926	0.530744167050664	0.0019339605845308	0.0395153013330532	0.0128016200152665	1.65286451431769e-20	0.0897726263294606
Seq26	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0.224489795918367	64139	6.63277024686847e-30	0.185680637335693	2.24370077791395e-42	0.248010938249209	0.735891724174494	0.0013634914178573	3.60946101806331e-29	0.813946168572397
Seq27	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unknown	unknown	0.799628942486085	55226	1.23572446348338e-26	0.158910224268796	5.46884314587327e-42	0.237629341451526	3.87203009480591e-11	0.056107611783498	5.56076008567519e-26	3.02018347394861e-09
Seq28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.597402597402597	57589	1.79692336674718e-48	0.336591008398983	9.0651253649322e-13	0.0658549586758996	0.303084434967725	0.00410893364159079	3.50400056515701e-47	0.448871884699035
Seq29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.306122448979592	59568	2.41107650111479e-15	0.104286747335524	1.77732296690026e-38	0.246864723447557	0.00272512650444308	0.0171576369373932	5.42492212750829e-15	0.0105363736739421
Seq31	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	0.573283858998145	47436	1.78103735690788e-21	0.056590895176563	7.51376302309165e-154	0.686409217799918	5.59742674566475e-06	0.0128719904260884	5.34311207072365e-21	7.27665476936418e-05
Seq32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.504638218923933	45294	4.30423285097555e-32	0.228626693426464	3.20384387167312e-19	0.112996711538831	0.0094114290105709	0.0141687109513839	2.79775135313411e-31	0.0286009660840726
Seq33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0.2430426716141	54962	2.51876646150025e-18	0.0949439611550636	6.18271971555959e-70	0.400075577729511	1.48137635050304e-05	0.0234531248655132	6.70659521541845e-18	0.000165067650484624
Seq34	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0.471243042671614	41120	7.38341134680258e-50	0.352906461238612	6.29579503113318e-09	0.0447012148082781	0.890898578048207	0.00071226243423962	1.57065295922891e-48	0.930302009130649
Seq35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0.306122448979592	45657	3.66167071640454e-11	0.073103149685086	6.89549280949847e-46	0.292218011152438	8.71657242833912e-06	0.0307381872333721	6.25424049371286e-11	0.000107351470959545
Seq36	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.857142857142857	44165	4.38155402136931e-17	0.145722780111301	6.47091584650782e-08	0.0514195344498638	0.0907519453120101	0.00979105703485364	1.07924593789518e-16	0.17696629335842
Seq37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0.230055658627087	39149	1.992908831642e-16	0.0655703502631759	9.63952064715856e-106	0.558004879193834	0.058810325570606	0.00528023092952705	4.66340666604227e-16	0.127422372069646
Seq38	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Planobacterium	0.85899814471243	36719	4.16347587339342e-07	0.0689758027829459	2.29226352989863e-07	0.0521877343579218	0.370482898657324	0.00521647265751697	5.41251863541144e-07	0.509958813445963
