Metric	Test	Term	Df	R2	F	P
Bray-Curtis	PERMANOVA	Habitat	6	0.331658367769671	56.6040340809684	0.001
Bray-Curtis	PERMANOVA	Subject	2	0.145446193742378	74.4697746922962	0.001
Bray-Curtis	PERMANOVA	Plate	3	0.00825614745379523	2.81814841576182	0.002
Aitchison	PERMANOVA	Habitat	6	0.154092221790419	21.7823065995543	0.001
Aitchison	PERMANOVA	Subject	2	0.211732108379399	89.7906522750305	0.001
Aitchison	PERMANOVA	Plate	3	0.0128257949336099	3.62608046507214	0.001
Bray-Curtis	PERMDISP	Plate dispersion	5		0.305841350926902	0.903
Aitchison	PERMDISP	Plate dispersion	5		5.63893612246066	0.001
