SampleID	AbsoluteCellLoad	Unit
sa1	1062977465	cells per gram frozen feces
sa2	12208511643	cells per gram frozen feces
sa3	1681888321	cells per gram frozen feces
sa4	6498912507	cells per gram frozen feces
sa5	3752945330	cells per gram frozen feces
sa6	2422082276	cells per gram frozen feces
sa7	2932093079	cells per gram frozen feces
sa8	18858384625	cells per gram frozen feces
sa9	2287673831	cells per gram frozen feces
sa10	1441626836	cells per gram frozen feces
sa11	3592316251	cells per gram frozen feces
sa12	22479879294	cells per gram frozen feces
sa13	9614754396	cells per gram frozen feces
sa14	9774365000	cells per gram frozen feces
sa15	11571414884	cells per gram frozen feces
sa16	3215741486	cells per gram frozen feces
sa17	9905229261	cells per gram frozen feces
sa18	3100234710	cells per gram frozen feces
sa19	5015554793	cells per gram frozen feces
sa20	16798553927	cells per gram frozen feces
sa21	3514444314	cells per gram frozen feces
sa22	22504636750	cells per gram frozen feces
sa23	16358157706	cells per gram frozen feces
sa24	7532913895	cells per gram frozen feces
sa25	12070419918	cells per gram frozen feces
sa26	19738232232	cells per gram frozen feces
sa27	13662871356	cells per gram frozen feces
sa28	2438866634	cells per gram frozen feces
sa29	11469232683	cells per gram frozen feces
sa30	19836781366	cells per gram frozen feces
sa31	43444253335	cells per gram frozen feces
sa32	30265931928	cells per gram frozen feces
sa33	18059825638	cells per gram frozen feces
sa34	19161920175	cells per gram frozen feces
sa35	26407152729	cells per gram frozen feces
sa36	7899124342	cells per gram frozen feces
sa37	23854369226	cells per gram frozen feces
sa38	27637160417	cells per gram frozen feces
sa39	24285637450	cells per gram frozen feces
sa40	29187903426	cells per gram frozen feces
sa41	44950963050	cells per gram frozen feces
sa42	14551245294	cells per gram frozen feces
sa43	7185509213	cells per gram frozen feces
sa44	21525755345	cells per gram frozen feces
sa45	26155348626	cells per gram frozen feces
sa46	8368242530	cells per gram frozen feces
sa47	4552868185	cells per gram frozen feces
sa48	34597423991	cells per gram frozen feces
sa49	9285097592	cells per gram frozen feces
sa50	30612576654	cells per gram frozen feces
sa51	19118199807	cells per gram frozen feces
sa52	41699113310	cells per gram frozen feces
sa53	10614183031	cells per gram frozen feces
sa54	3671801711	cells per gram frozen feces
sa55	14100743113	cells per gram frozen feces
sa56	11700162144	cells per gram frozen feces
sa57	17861499418	cells per gram frozen feces
sa58	29519891151	cells per gram frozen feces
sa59	3837447416	cells per gram frozen feces
sa60	43455333364	cells per gram frozen feces
sa61	50705141917	cells per gram frozen feces
sa62	5079063383	cells per gram frozen feces
sa63	4501574755	cells per gram frozen feces
sa64	28433808266	cells per gram frozen feces
sa65	23255198430	cells per gram frozen feces
sa66	28469318308	cells per gram frozen feces
sa67	32295552282	cells per gram frozen feces
sa68	1170649196	cells per gram frozen feces
sa69	9588558340	cells per gram frozen feces
sa70	5753994601	cells per gram frozen feces
sa71	33786162272	cells per gram frozen feces
sa72	25314493403	cells per gram frozen feces
sa73	23499852993	cells per gram frozen feces
sa74	23250389692	cells per gram frozen feces
sa75	35421559905	cells per gram frozen feces
sa76	14839578744	cells per gram frozen feces
sa77	9666148582	cells per gram frozen feces
sa78	40735395425	cells per gram frozen feces
sa79	37442260243	cells per gram frozen feces
sa80	34934191494	cells per gram frozen feces
sa81	15013125754	cells per gram frozen feces
sa82	10832137733	cells per gram frozen feces
sa83	33001170372	cells per gram frozen feces
sa84	43069039672	cells per gram frozen feces
sa85	30010222748	cells per gram frozen feces
sa86	38278248037	cells per gram frozen feces
sa87	4031954645	cells per gram frozen feces
sa88	7791313783	cells per gram frozen feces
sa89	24716414482	cells per gram frozen feces
sa90	19611320474	cells per gram frozen feces
sa91	36965298976	cells per gram frozen feces
sa92	10967561953	cells per gram frozen feces
sa93	14118137635	cells per gram frozen feces
sa94	26537851038	cells per gram frozen feces
sa95	19668624272	cells per gram frozen feces
96	37953197315	cells per gram frozen feces
97	29685681621	cells per gram frozen feces
98	23471313466	cells per gram frozen feces
99	30556424204	cells per gram frozen feces
100	21191155148	cells per gram frozen feces
101	19647076697	cells per gram frozen feces
102	51900280754	cells per gram frozen feces
103	33183458563	cells per gram frozen feces
104	8931968686	cells per gram frozen feces
105	21353346699	cells per gram frozen feces
106	27115921006	cells per gram frozen feces
107	56919512735	cells per gram frozen feces
108	61231829582	cells per gram frozen feces
109	28955740573	cells per gram frozen feces
110	33979120876	cells per gram frozen feces
111	18743261892	cells per gram frozen feces
112	8625813137	cells per gram frozen feces
113	54981000729	cells per gram frozen feces
114	15464091353	cells per gram frozen feces
115	38065726898	cells per gram frozen feces
116	31444963157	cells per gram frozen feces
117	31350242891	cells per gram frozen feces
118	40292731154	cells per gram frozen feces
119	21708333553	cells per gram frozen feces
120	58801084514	cells per gram frozen feces
121	30260386330	cells per gram frozen feces
122	23055096130	cells per gram frozen feces
123	34764872882	cells per gram frozen feces
124	12425237507	cells per gram frozen feces
125	31701897139	cells per gram frozen feces
126	30949156139	cells per gram frozen feces
127	9109838082	cells per gram frozen feces
128	39378739627	cells per gram frozen feces
129	23604493086	cells per gram frozen feces
130	28277518008	cells per gram frozen feces
131	19191494713	cells per gram frozen feces
132	48975630851	cells per gram frozen feces
133	50137412922	cells per gram frozen feces
134	13089742197	cells per gram frozen feces
135	22196639737	cells per gram frozen feces
