FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Abiotrophia						Abiotrophia	
Acetanaerobacterium						Acetanaerobacterium	
Acetatifactor						Acetatifactor	
Acetitomaculum						Acetitomaculum	
Acetivibrio						Acetivibrio	
Acidaminococcus						Acidaminococcus	
Actinomyces						Actinomyces	
Aerococcus						Aerococcus	
Akkermansia						Akkermansia	
Alistipes						Alistipes	
Allisonella						Allisonella	
Alloprevotella						Alloprevotella	
Alloscardovia						Alloscardovia	
Anaerococcus						Anaerococcus	
Anaerofustis						Anaerofustis	
Anaerosporobacter						Anaerosporobacter	
Anaerostipes						Anaerostipes	
Anaerotruncus						Anaerotruncus	
Atopobium						Atopobium	
Bacteroides						Bacteroides	
Barnesiella						Barnesiella	
Bifidobacterium						Bifidobacterium	
Bilophila						Bilophila	
Blautia						Blautia	
Brachyspira						Brachyspira	
Butyricicoccus						Butyricicoccus	
Butyricimonas						Butyricimonas	
Butyrivibrio						Butyrivibrio	
Campylobacter						Campylobacter	
Catabacter						Catabacter	
Catenibacterium						Catenibacterium	
Cerasicoccus						Cerasicoccus	
Christensenella						Christensenella	
Cloacibacillus						Cloacibacillus	
Clostridium_III						Clostridium_III	
Clostridium_IV						Clostridium_IV	
Clostridium_XI						Clostridium_XI	
Clostridium_XVIII						Clostridium_XVIII	
Clostridium_XlVa						Clostridium_XlVa	
Clostridium_XlVb						Clostridium_XlVb	
Clostridium_sensu_stricto						Clostridium_sensu_stricto	
Collinsella						Collinsella	
Comamonas						Comamonas	
Coprobacillus						Coprobacillus	
Coprobacter						Coprobacter	
Coprococcus						Coprococcus	
Corynebacterium						Corynebacterium	
Desulfovibrio						Desulfovibrio	
Dialister						Dialister	
Dorea						Dorea	
Eggerthella						Eggerthella	
Eisenbergiella						Eisenbergiella	
Elusimicrobium						Elusimicrobium	
Enterococcus						Enterococcus	
Enterorhabdus						Enterorhabdus	
EscherichiaShigella						EscherichiaShigella	
Eubacterium						Eubacterium	
Ezakiella						Ezakiella	
Faecalibacterium						Faecalibacterium	
Faecalicoccus						Faecalicoccus	
Faecalitalea						Faecalitalea	
Finegoldia						Finegoldia	
Flavonifractor						Flavonifractor	
Fusicatenibacter						Fusicatenibacter	
Fusobacterium						Fusobacterium	
Gardnerella						Gardnerella	
Gemella						Gemella	
Gemmiger						Gemmiger	
Gordonibacter						Gordonibacter	
Granulicatella						Granulicatella	
Haemophilus						Haemophilus	
Helicobacter						Helicobacter	
Herbaspirillum						Herbaspirillum	
Hespellia						Hespellia	
Holdemanella						Holdemanella	
Holdemania						Holdemania	
Howardella						Howardella	
Hungatella						Hungatella	
Hydrogenoanaerobacterium						Hydrogenoanaerobacterium	
