FeatureID	DisplayTaxon	Module	WithinConnectivity	KME	CandidateHub
Genus:Hyphomicrobium	Hyphomicrobium	grey	1.10097443391502	NA	FALSE
Genus:Anaeromyxobacter	Anaeromyxobacter	turquoise	11.0741013832706	0.676672822174977	FALSE
Genus:Adhaeribacter	Adhaeribacter	brown	5.14367075230333	0.698721390565789	FALSE
Genus:BD1-7 clade	BD1-7 clade	blue	2.71887235196125	0.353099886057669	FALSE
Genus:Candidatus Koribacter	Candidatus Koribacter	turquoise	16.2501747308871	0.835066186039701	TRUE
Genus:Chthonomonas	Chthonomonas	turquoise	10.5787223791764	0.70077341384997	FALSE
Genus:Planctomyces	Planctomyces	grey	1.06238266959847	NA	FALSE
Genus:Thioalkalispira	Thioalkalispira	blue	4.79150643206665	0.551186439159529	FALSE
Genus:Planomicrobium	Planomicrobium	turquoise	4.59868598072669	0.367371248374534	FALSE
Genus:Synechococcus	Synechococcus	blue	6.01038446963443	0.57629923802116	FALSE
Genus:Dechloromonas	Dechloromonas	turquoise	5.2964158408259	0.458843984644061	FALSE
Genus:Sorangium	Sorangium	turquoise	12.20348284034	0.712600338472842	FALSE
Genus:CL500-29 marine group	CL500-29 marine group	brown	5.76385582111132	0.726849684483969	FALSE
Genus:Bauldia	Bauldia	turquoise	11.1082491655803	0.711062676240093	FALSE
Genus:Spirochaeta 2	Spirochaeta 2	grey	1.85696459214442	NA	FALSE
Genus:Luteolibacter	Luteolibacter	brown	3.42512912060535	0.590788169311389	FALSE
Genus:Sulfuritalea	Sulfuritalea	brown	2.24048763951412	0.375053412468678	FALSE
Genus:Bryobacter	Bryobacter	turquoise	12.3396442110294	0.693651258811171	FALSE
Genus:Desulfatiglans	Desulfatiglans	blue	5.88763870447095	0.564097384164362	FALSE
Genus:Geobacter	Geobacter	turquoise	13.7164977253932	0.761812449122359	FALSE
Genus:Hirschia	Hirschia	turquoise	4.61227387879662	0.309030763357702	FALSE
Genus:Methanosarcina	Methanosarcina	turquoise	3.47231013925779	0.336367633314361	FALSE
Genus:Longilinea	Longilinea	brown	3.18510115877766	0.533480541727647	FALSE
Genus:Candidatus Microthrix	Candidatus Microthrix	grey	1.19761511149598	NA	FALSE
Genus:Acidibacter	Acidibacter	turquoise	14.9275463170931	0.806819193221218	TRUE
Genus:Desulfobacca	Desulfobacca	grey	1.75998316786166	NA	FALSE
Genus:Rhodoplanes	Rhodoplanes	turquoise	7.30149343240196	0.53357940623678	FALSE
Genus:Byssovorax	Byssovorax	turquoise	11.2308463304085	0.711116905206938	FALSE
Genus:Chitinophaga	Chitinophaga	brown	2.86410087252409	0.547416276059221	FALSE
Genus:Aquabacterium	Aquabacterium	turquoise	4.59315865426323	0.354321043537299	FALSE
Genus:Fastidiosipila	Fastidiosipila	yellow	2.34559472987156	0.365662160027452	FALSE
Genus:Methylotenera	Methylotenera	grey	1.20653115524757	NA	FALSE
Genus:Microvirga	Microvirga	turquoise	4.74462173163151	0.412826551735489	FALSE
Genus:Candidatus Solibacter	Candidatus Solibacter	turquoise	14.5377820459301	0.762303727020166	FALSE
Genus:Skermanella	Skermanella	turquoise	7.72515974998383	0.579830838714944	FALSE
Genus:Phenylobacterium	Phenylobacterium	turquoise	15.4301293793019	0.816743954723067	TRUE
Genus:Clostridium sensu stricto 8	Clostridium sensu stricto 8	turquoise	3.55100973956042	0.308814236887064	FALSE
Genus:Pseudolabrys	Pseudolabrys	turquoise	8.31003296835992	0.561739191876116	FALSE
