Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.
1	0.231710876363657	14.299257247537	0.798317226032156	211.777413559283	212.313322798257	221.587914209674
2	0.0501108939910188	-3.55351926015508	0.774588758438312	112.960406536656	112.559145413525	128.991978317771
3	0.15419232080294	-3.01707571849755	0.827908685932472	63.3982248230304	62.735080986164	80.8105941334766
4	0.294570377045197	-2.39905971861453	0.892307948560302	37.2378710972797	36.3686583828374	53.4943915510071
5	0.49304387976089	-1.77119559953067	0.916818051550828	22.7983928438344	21.7704880301053	37.0155838756461
6	0.738413003792573	-1.66485891787485	0.865849557426063	14.5035860330108	13.5471700348019	27.5050235262245
7	0.876504313811303	-1.86542763357792	0.919152819276733	9.56295806167491	8.55235405924154	22.4537340587211
8	0.848370490703718	-1.94179704489976	0.839279475397474	6.52102994923256	5.56620682613492	19.2518974467503
9	0.73740498113958	-2.03862730667425	0.675646334348407	4.59003356945591	3.66105319504059	17.0690156012394
10	0.176127186526462	-3.15508026295061	-0.0526046554304429	3.32907149685886	2.44405021296628	15.4626274926044
11	0.169673688551479	-3.75025890097484	-0.0164557444803877	2.48370720107647	1.65066284527783	14.2347026551499
12	0.181728627236376	-3.61876289709798	-0.0129544904421328	1.90290519420282	1.12325928797378	13.26425238734
14	0.126037193885435	-2.64488558395362	0.0325285009990069	1.20143412373343	0.549896948297491	11.9310226093827
16	0.0677892329403062	-1.74229277248359	0.130747969921674	0.826213900157684	0.272897544361344	10.9888690627119
18	0.0857486556689497	-1.36282568224777	0.0857357358847599	0.610130822090425	0.142927681478831	10.2615070709855
20	0.0576714162860983	-1.59048441323524	0.164696459487659	0.477279980450673	0.0776023418062023	9.669696765955
