Module	Trait	Correlation	PValue	QValue	Significant	ModuleLabel	Label	TextColour
MEturquoise	CW	-0.422978964810997	3.2765415677545e-05	6.16760765694965e-05	TRUE	turquoise	-0.42; q=<.001	black
MEblue	CW	0.835984901824062	1.17311371041619e-24	1.8769819366659e-23	TRUE	blue	0.84; q=<.001	white
MEbrown	CW	-0.694944903045425	2.99902811239788e-14	2.3992224899183e-13	TRUE	brown	-0.69; q=<.001	white
MEyellow	CW	0.0793734318401927	0.457087590453056	0.522385817660635	FALSE	yellow	0.08; q=0.522	black
MEturquoise	IW	0.877135440263775	8.96482435575918e-30	2.86874379384294e-28	TRUE	turquoise	0.88; q=<.001	white
MEblue	IW	-0.412666608663368	5.30318317034525e-05	9.42788119172488e-05	TRUE	blue	-0.41; q=<.001	black
MEbrown	IW	0.0100316606113421	0.925235683117495	0.960681355938853	FALSE	brown	0.01; q=0.961	black
MEyellow	IW	-0.626640793746636	3.93267236513204e-11	2.09742526140376e-10	TRUE	yellow	-0.63; q=<.001	white
MEturquoise	TW	-0.454156475452778	6.92159434541435e-06	1.47660679368839e-05	TRUE	turquoise	-0.45; q=<.001	black
MEblue	TW	-0.423318293160694	3.22417168051631e-05	6.16760765694965e-05	TRUE	blue	-0.42; q=<.001	black
MEbrown	TW	0.684913242434083	9.72444783493512e-14	6.22364661435848e-13	TRUE	brown	0.68; q=<.001	white
MEyellow	TW	0.547267361906444	2.38525033031614e-08	7.63280105701163e-08	TRUE	yellow	0.55; q=<.001	black
MEturquoise	pH	-0.254787221988019	0.015372750835903	0.0234251441308999	TRUE	turquoise	-0.25; q=0.023	black
MEblue	pH	-0.00128511339921178	0.990408670646749	0.990408670646749	FALSE	blue	-0.00; q=0.990	black
MEbrown	pH	0.217029941258202	0.0399074750359983	0.0532099667146644	FALSE	brown	0.22; q=0.053	black
MEyellow	pH	0.0883247388039782	0.40776747397277	0.483279969152912	FALSE	yellow	0.09; q=0.483	black
MEturquoise	TOC	0.201876802810063	0.0563788464737142	0.0721649234863542	FALSE	turquoise	0.20; q=0.072	black
MEblue	TOC	-0.166626003239105	0.116496254007537	0.143380004932353	FALSE	blue	-0.17; q=0.143	black
MEbrown	TOC	-0.0093019536206019	0.930660063565764	0.960681355938853	FALSE	brown	-0.01; q=0.961	black
MEyellow	TOC	-0.0718060506202328	0.501228107738099	0.553079291297213	FALSE	yellow	-0.07; q=0.553	black
MEturquoise	Conductivity	-0.492184413145478	8.3484205888102e-07	1.90821042029947e-06	TRUE	turquoise	-0.49; q=<.001	black
MEblue	Conductivity	0.601502593734446	3.62265562036213e-10	1.65607114073697e-09	TRUE	blue	0.60; q=<.001	white
MEbrown	Conductivity	-0.531323421214	7.12778978614228e-08	1.90074394297127e-07	TRUE	brown	-0.53; q=<.001	black
MEyellow	Conductivity	0.244391619366057	0.0202645474074516	0.0281941529147152	TRUE	yellow	0.24; q=0.028	black
MEturquoise	Temperature	-0.585011056827881	1.40441155223109e-09	5.61764620892437e-09	TRUE	turquoise	-0.59; q=<.001	white
MEblue	Temperature	0.722854531555144	8.69340349684187e-16	9.27296372996466e-15	TRUE	blue	0.72; q=<.001	white
MEbrown	Temperature	-0.545340065285015	2.73100125392733e-08	7.94473092051588e-08	TRUE	brown	-0.55; q=<.001	black
MEyellow	Temperature	0.334443140621471	0.00127404673087687	0.00211731066113831	TRUE	yellow	0.33; q=0.002	black
MEturquoise	Precipitation	-0.333378283334949	0.00132331916321144	0.00211731066113831	TRUE	turquoise	-0.33; q=0.002	black
MEblue	Precipitation	0.574905514089069	3.10555449123437e-09	1.10419715243889e-08	TRUE	blue	0.57; q=<.001	white
MEbrown	Precipitation	-0.508105338177017	3.18387260360049e-07	7.83722487040119e-07	TRUE	brown	-0.51; q=<.001	black
MEyellow	Precipitation	0.247037879183867	0.0189072886087268	0.0275015107036026	TRUE	yellow	0.25; q=0.028	black
