rank	assigned_features	total_features	feature_percent	assigned_reads	total_reads	read_percent
Domain	366	366	100	5213	5213	100
Phylum	354	366	96.72131147540983	5153	5213	98.84903126798389
Class	353	366	96.44808743169399	5144	5213	98.67638595818147
Order	336	366	91.80327868852459	5024	5213	96.37444849414925
Family	333	366	90.98360655737704	5011	5213	96.12507193554575
Genus	318	366	86.88524590163934	4217	5213	80.89391904853251
Species	0	366	0	0	5213	0
