package	expected_version	observed_version	status
phyloseq	1.48.0	1.48.0	PASS
ape	5.8	5.8	PASS
Biostrings	2.72.1	2.72.1	PASS
ggplot2	3.5.2	3.5.2	PASS
readr	2.1.5	2.1.5	PASS
digest	0.6.36	0.6.36	PASS
jsonlite	1.8.8	1.8.8	PASS
