asset	file	bytes	observed_sha256	expected_sha256	status
otutab	otutab.tsv	15162	6c43bb8f929f935b60e42ed32737632d3be18ddd491f5298ba3a6abd6e3f18a9	6c43bb8f929f935b60e42ed32737632d3be18ddd491f5298ba3a6abd6e3f18a9	PASS
taxonomy	taxonomy.tsv	47119	8ef235ea19923307eef4d8e1905c2f34b78cf25cf1a83f08aa00353f2c5c0d38	8ef235ea19923307eef4d8e1905c2f34b78cf25cf1a83f08aa00353f2c5c0d38	PASS
metadata	metadata.tsv	244	6628dd51051c53884e82c540ceaff8cc34f69900a78d372239a2ed41ff5b7263	6628dd51051c53884e82c540ceaff8cc34f69900a78d372239a2ed41ff5b7263	PASS
taxonomy_confidence	taxonomy-confidence.tsv	56043	26fd4c66301f97c6feac8f3302ab19f269e9429c9ce65dea5c66ae277eca55b7	26fd4c66301f97c6feac8f3302ab19f269e9429c9ce65dea5c66ae277eca55b7	PASS
representative_sequences	representative-sequences.fasta.gz	26340	a19e083cfb0ab757d557569bdf76aa3de78576ae35033a7e69a647976a370bc2	a19e083cfb0ab757d557569bdf76aa3de78576ae35033a7e69a647976a370bc2	PASS
rooted_insertion_tree	rooted-insertion-tree.nwk.gz	2380267	7e541e2ed9e3f81d9b6c6bf98999335e7f684a37ac5dd5f2b56e61b2f4c4c47c	7e541e2ed9e3f81d9b6c6bf98999335e7f684a37ac5dd5f2b56e61b2f4c4c47c	PASS
source_summary	source-summary.json	2986	358710a72413e1bc1ff0e13cb1a3722a848583d37321e1c2442523f09d3226fd	358710a72413e1bc1ff0e13cb1a3722a848583d37321e1c2442523f09d3226fd	PASS
